brain_predicted_n	project_n	brain_percent	project_id
18	18	100	ERP001304
6	6	100	SRP002274
12	12	100	SRP007483
4	4	100	SRP017809
25	25	100	SRP017933
14	14	100	SRP019762
4	4	100	SRP020661
5	5	100	SRP021924
16	16	100	SRP026048
38	38	100	SRP030628
5	5	100	SRP031501
20	20	100	SRP031868
11	11	100	SRP032539
11	11	100	SRP032540
8	8	100	SRP033078
6	6	100	SRP033291
5	5	100	SRP034929
35	35	100	SRP035524
13	13	100	SRP040622
17	17	100	SRP041044
18	18	100	SRP043684
7	7	100	SRP045590
72	72	100	SRP045638
12	12	100	SRP048683
4	4	100	SRP049333
11	11	100	SRP049776
69	69	100	SRP051844
4	4	100	SRP052817
4	4	100	SRP053043
9	9	100	SRP055440
4	4	100	SRP055730
10	10	100	SRP056287
8	8	100	SRP056604
15	15	100	SRP056863
73	73	100	SRP058181
4	4	100	SRP058640
8	8	100	SRP059579
6	6	100	SRP066394
21	21	100	SRP067645
61	62	98.39	SRP033725
52	53	98.11	SRP056477
51	52	98.08	SRP043364
92	94	97.87	SRP044668
32	33	96.97	SRP015668
29	30	96.67	SRP051331
263	274	95.99	SRP027383
47	49	95.92	ERP010930
22	23	95.65	ERP004592
20	21	95.24	DRP000499
14	15	93.33	SRP055447
13	14	92.86	SRP057855
18	20	90	SRP033464
14	16	87.5	SRP032798
7	8	87.5	SRP035417
35	41	85.37	SRP064454
5	6	83.33	ERP009841
10	12	83.33	SRP026562
5	6	83.33	SRP044749
10	12	83.33	SRP066009
12	15	80	SRP011903
8	10	80	SRP052294
14	18	77.78	SRP058351
3	4	75	SRP011130
3	4	75	SRP034737
6	8	75	SRP047459
1263	1720	73.43	SRP025982
10	14	71.43	SRP032476
4	6	66.67	SRP017577
4	6	66.67	SRP047339
4	6	66.67	SRP051468
4	6	66.67	SRP055027
8	12	66.67	SRP059692
13	20	65	SRP021130
38	60	63.33	SRP028336
5	8	62.5	SRP000617
5	8	62.5	SRP008775
5	8	62.5	SRP012098
5	8	62.5	SRP029281
5	8	62.5	SRP055858
10	16	62.5	SRP059379
256	422	60.66	SRP026126
3	5	60	SRP017777
14	24	58.33	SRP013825
24	42	57.14	SRP061682
7	13	53.85	SRP049475
18	34	52.94	SRP014675
2	4	50	DRP000425
4	8	50	ERP004697
2	4	50	SRP007351
2	4	50	SRP013912
4	8	50	SRP022028
2	4	50	SRP045126
3	6	50	SRP047422
4	8	50	SRP049264
4	8	50	SRP061880
16	33	48.48	SRP034875
7	15	46.67	SRP063070
5	11	45.45	SRP056792
10	23	43.48	DRP002623
201	466	43.13	SRP057196
9	21	42.86	SRP007412
5	12	41.67	SRP017959
2	5	40	ERP000619
2	5	40	SRP015370
4	10	40	SRP028705
2	5	40	SRP035862
6	16	37.5	SRP045118
109	303	35.97	SRP050892
12	34	35.29	ERP004043
2	6	33.33	SRP017019
2	6	33.33	SRP017684
2	6	33.33	SRP018010
