SAMPID,SMATSSCR,SMCENTER,SMPTHNTS,SMRIN,SMTS,SMTSD,SMUBRID,SMTSISCH,SMTSPAX,SMNABTCH,SMNABTCHT,SMNABTCHD,SMGEBTCH,SMGEBTCHD,SMGEBTCHT,SMAFRZE,SMGTC,SME2MPRT,SMCHMPRS,SMNTRART,SMNUMGPS,SMMAPRT,SMEXNCRT,SM550NRM,SMGNSDTC,SMUNMPRT,SM350NRM,SMRDLGTH,SMMNCPB,SME1MMRT,SMSFLGTH,SMESTLBS,SMMPPD,SMNTERRT,SMRRNANM,SMRDTTL,SMVQCFL,SMMNCV,SMTRSCPT,SMMPPDPR,SMCGLGTH,SMGAPPCT,SMUNPDRD,SMNTRNRT,SMMPUNRT,SMEXPEFF,SMMPPDUN,SME2MMRT,SME2ANTI,SMALTALG,SME2SNSE,SMMFLGTH,SME1ANTI,SMSPLTRD,SMBSMMRT,SME1SNSE,SME1PCTS,SMRRNART,SME1MPRT,SMNUM5CD,SMDPMPRT,SME2PCTS
GTEX-1117F-0003-SM-58Q7G,,B1,,,Blood,Whole Blood,13756,1188,,BP-38516,DNA isolation_Whole Blood_QIAGEN Puregene (Manual),05/02/2013,LCSET-4574,01/19/2014,Standard Exome Sequencing v3 (ICE),WES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GTEX-1117F-0003-SM-5DWSB,,B1,,,Blood,Whole Blood,13756,1188,,BP-38516,DNA isolation_Whole Blood_QIAGEN Puregene (Manual),5/2/2013,GTEx_OM25_Dec_01,01/28/2014,Illumina OMNI SNP Array,OMNI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GTEX-1117F-0003-SM-6WBT7,,B1,,,Blood,Whole Blood,13756,1188,,BP-38543,Transfer To Matrix (Manual),05/03/2013,LCSET-6056,8/11/2014,Standard High Coverage Whole Genome Sequencing (30x) v2 (HiSeqX),WGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GTEX-1117F-0226-SM-5GZZ7,0,B1,"2 pieces, ~15% vessel stroma, rep delineated",6.8,Adipose Tissue,Adipose - Subcutaneous,2190,1214,1125,BP-43693,RNA Extraction from Paxgene-derived Lysate Plate Based,09/17/2013,LCSET-4804,03/05/2014,TruSeq.v1,RNASEQ,,0.9815304,0,0.96234757,,0.9871785,0.7537504,,22942,1,,76,,0.0024255,139,0,66480075,0.037361376,208893,67343520,8788030,,22970,32906375,,,0,0.20859717,0.9871785,0.7440862,66480075,0.003910437,14397429,6092551,14470339,143,14579275,12025354,0.003163721,14634407,50.094357,0.003101902,0.9928265,,0,50.12628
GTEX-1117F-0426-SM-5EGHI,0,B1,"2 pieces, !5% fibrous connective tissue, delineated (rep)",7.1,Muscle,Muscle - Skeletal,11907,1220,1119,BP-43495,RNA Extraction from Paxgene-derived Lysate Plate Based,09/12/2013,LCSET-4764,02/08/2014,TruSeq.v1,RNASEQ,,0.9830897,0,0.9762462,,0.9886509,0.8383861,,19848,1,,76,,0.002447569,144,0,59746651,0.023478989,422467,60432502,9592528,,19863,29638257,,,0,0.13786007,0.9886509,0.82887125,59746651,0.005552199,13096716,7413329,13047132,139,13134349,11578874,0.003991152,13307871,50.328114,0.006990725,0.99421215,,0,49.90517
GTEX-1117F-0526-SM-5EGHJ,0,B1,"2 pieces, clean, Monckebeg medial sclerosis, rep delineated",8,Blood Vessel,Artery - Tibial,7610,1221,1120,BP-43495,RNA Extraction from Paxgene-derived Lysate Plate Based,09/12/2013,LCSET-4764,02/08/2014,TruSeq.v1,RNASEQ,,0.9798543,0,0.96775943,,0.98628247,0.7625493,,21659,1,,76,,0.002655708,129,0,59565788,0.03190501,173152,60394250,9398816,,21681,29484257,,,0,0.20521009,0.98628247,0.75208896,59565788,0.005935803,12929305,5479508,13047681,124,13169835,11015113,0.004285066,13160068,49.98145,0.002867028,0.99271065,,0,50.227848
GTEX-1117F-0626-SM-5N9CS,1,B1,"2 pieces, up to 4mm aderent fat/nerve/vessel, delineated",6.9,Blood Vessel,Artery - Coronary,1621,1243,1098,BP-43956,RNA Extraction from Paxgene-derived Lysate Plate Based,09/25/2013,LCSET-4904,03/22/2014,TruSeq.v1,RNASEQ,,0.9871314,0,0.96665466,,0.989153,0.7642048,,22709,1,,76,,0.003073925,142,0,69566057,0.03306186,375237,70328908,3629138,,22731,34574415,,,0,0.20244992,0.989153,0.75591546,69566057,0.003686145,15145620,5181321,15160800,151,15148343,11624467,0.003379409,15282444,50.220333,0.005335459,0.9911747,,0,50.025043
GTEX-1117F-0726-SM-5GIEN,1,B1,"2 pieces, no abnormalities",6.3,Heart,Heart - Atrial Appendage,6631,1244,1097,BP-44261,RNA Extraction from Paxgene-derived Lysate Plate Based,10/03/2013,LCSET-4796,02/27/2014,TruSeq.v1,RNASEQ,,0.9877184,0,0.97665596,,0.9910982,0.80094284,,21517,1,,76,,0.003134257,139,0,62637380,0.023049926,1932613,63199972,8245000,,21532,31120320,,,0,0.17571312,0.9910982,0.793813,62637380,0.003769375,13593506,8083964,13555428,147,13583226,9262806,0.003450733,13745609,50.29709,0.030579332,0.99447805,,0,49.92987
GTEX-1117F-1326-SM-5EGHH,1,B1,"2 pieces, diffuse mesothelial hyperplasia; ~10% vessel/fibrous tissue (delineated)",5.9,Adipose Tissue,Adipose - Visceral (Omentum),10414,1277,1066,BP-43495,RNA Extraction from Paxgene-derived Lysate Plate Based,09/12/2013,LCSET-4764,02/08/2014,TruSeq.v1,RNASEQ,,0.97611374,0,0.9727327,,0.9826142,0.75065655,,22049,1,,76,,0.003229503,128,0,59546336,0.02578251,625474,60599912,9761722,,22074,29445071,,,0,0.22207615,0.9826142,0.7376058,59546336,0.006530768,13169961,8576376,13200870,126,13342709,9625148,0.004869216,13393827,50.095592,0.010321368,0.9891147,,0,50.058605
GTEX-1117F-2226-SM-5N9CH,1,B1,"1 piece vascular tissue, probably ovarian hilum.  Not GTEx target tissue",6.6,Ovary,Ovary,992,1326,1020,BP-43956,RNA Extraction from Paxgene-derived Lysate Plate Based,09/25/2013,LCSET-4904,03/22/2014,TruSeq.v1,RNASEQ,,0.9866437,0,0.9734948,,0.988394,0.73582315,,22448,1,,76,,0.003066176,145,0,70969649,0.026200356,150537,71802990,3543192,,22484,35279476,,,0,0.23767157,0.988394,0.72728324,70969649,0.003589847,15799781,6438320,15775795,145,15767801,12721979,0.003327548,15920208,50.24048,0.002096528,0.9901444,,0,49.962017
