Assay_Type_s	AvgSpotLen_l	BioSample_s	Experiment_s	LibraryLayout_s	LibrarySelection_s	LibrarySource_s	LoadDate_s	MBases_l	MBytes_l	Organism_s	ReleaseDate_s	Run_s	SRA_Sample_s	Sample_Name_s	age_s	gender_s	genotype_s	source_name_s	strain_s	tissue_s	BioProject_s	Center_Name_s	Consent_s	InsertSize_l	Instrument_s	Platform_s	SRA_Study_s
Bisulfite-Seq	100	SAMN02204164	SRX306253	SINGLE	RANDOM	GENOMIC	2015-10-28	9128	4263	Homo sapiens	2015-07-22	SRR901379	SRS445278	GSM1163695	20 weeks (gestational)	male		Cerebral cortex from fetal human brain		brain (cerebral cortex)	PRJNA208503	GEO	public	0	Illumina HiSeq 2000	ILLUMINA	SRP026048
Bisulfite-Seq	101	SAMN02204164	SRX306253	SINGLE	RANDOM	GENOMIC	2015-10-28	8334	5581	Homo sapiens	2015-07-22	SRR901380	SRS445278	GSM1163695	20 weeks (gestational)	male		Cerebral cortex from fetal human brain		brain (cerebral cortex)	PRJNA208503	GEO	public	0	Illumina HiSeq 2000	ILLUMINA	SRP026048
Bisulfite-Seq	100	SAMN02204164	SRX306253	SINGLE	RANDOM	GENOMIC	2015-10-28	8728	5893	Homo sapiens	2015-07-22	SRR901381	SRS445278	GSM1163695	20 weeks (gestational)	male		Cerebral cortex from fetal human brain		brain (cerebral cortex)	PRJNA208503	GEO	public	0	Illumina HiSeq 2000	ILLUMINA	SRP026048
Bisulfite-Seq	100	SAMN02204164	SRX306253	SINGLE	RANDOM	GENOMIC	2015-10-28	8509	5644	Homo sapiens	2015-07-22	SRR901382	SRS445278	GSM1163695	20 weeks (gestational)	male		Cerebral cortex from fetal human brain		brain (cerebral cortex)	PRJNA208503	GEO	public	0	Illumina HiSeq 2000	ILLUMINA	SRP026048
Bisulfite-Seq	100	SAMN02204164	SRX306253	SINGLE	RANDOM	GENOMIC	2015-10-28	8380	5577	Homo sapiens	2015-07-22	SRR901383	SRS445278	GSM1163695	20 weeks (gestational)	male		Cerebral cortex from fetal human brain		brain (cerebral cortex)	PRJNA208503	GEO	public	0	Illumina HiSeq 2000	ILLUMINA	SRP026048
Bisulfite-Seq	100	SAMN02204164	SRX306253	SINGLE	RANDOM	GENOMIC	2015-10-28	8432	5596	Homo sapiens	2015-07-22	SRR901384	SRS445278	GSM1163695	20 weeks (gestational)	male		Cerebral cortex from fetal human brain		brain (cerebral cortex)	PRJNA208503	GEO	public	0	Illumina HiSeq 2000	ILLUMINA	SRP026048
Bisulfite-Seq	100	SAMN02204164	SRX306253	SINGLE	RANDOM	GENOMIC	2015-10-28	8462	5632	Homo sapiens	2015-07-22	SRR901385	SRS445278	GSM1163695	20 weeks (gestational)	male		Cerebral cortex from fetal human brain		brain (cerebral cortex)	PRJNA208503	GEO	public	0	Illumina HiSeq 2000	ILLUMINA	SRP026048
Bisulfite-Seq	101	SAMN02204164	SRX306253	SINGLE	RANDOM	GENOMIC	2015-10-28	8223	5517	Homo sapiens	2015-07-22	SRR901386	SRS445278	GSM1163695	20 weeks (gestational)	male		Cerebral cortex from fetal human brain		brain (cerebral cortex)	PRJNA208503	GEO	public	0	Illumina HiSeq 2000	ILLUMINA	SRP026048
Bisulfite-Seq	101	SAMN02204164	SRX306253	SINGLE	RANDOM	GENOMIC	2015-10-28	8276	5572	Homo sapiens	2015-07-22	SRR901387	SRS445278	GSM1163695	20 weeks (gestational)	male		Cerebral cortex from fetal human brain		brain (cerebral cortex)	PRJNA208503	GEO	public	0	Illumina HiSeq 2000	ILLUMINA	SRP026048
Bisulfite-Seq	101	SAMN02204164	SRX306253	SINGLE	RANDOM	GENOMIC	2015-10-28	8293	5581	Homo sapiens	2015-07-22	SRR901388	SRS445278	GSM1163695	20 weeks (gestational)	male		Cerebral cortex from fetal human brain		brain (cerebral cortex)	PRJNA208503	GEO	public	0	Illumina HiSeq 2000	ILLUMINA	SRP026048
Bisulfite-Seq	101	SAMN02204642	SRX306584	SINGLE	RANDOM	GENOMIC	2013-06-16	9632	6845	Homo sapiens	2013-07-03	SRR901852	SRS445515	GSM1164631	16 years (16 yr 63 d)	male		Middle frontal gyrus from 16 year old male human brain (UMB_1158)		brain (middle frontal gyrus)	PRJNA208503	GEO	public	0	Illumina HiSeq 2000	ILLUMINA	SRP026048
Bisulfite-Seq	100	SAMN02204642	SRX306584	SINGLE	RANDOM	GENOMIC	2013-06-16	9536	6962	Homo sapiens	2013-07-03	SRR901853	SRS445515	GSM1164631	16 years (16 yr 63 d)	male		Middle frontal gyrus from 16 year old male human brain (UMB_1158)		brain (middle frontal gyrus)	PRJNA208503	GEO	public	0	Illumina HiSeq 2000	ILLUMINA	SRP026048
Bisulfite-Seq	100	SAMN02204642	SRX306584	SINGLE	RANDOM	GENOMIC	2013-06-16	9536	7041	Homo sapiens	2013-07-03	SRR901854	SRS445515	GSM1164631	16 years (16 yr 63 d)	male		Middle frontal gyrus from 16 year old male human brain (UMB_1158)		brain (middle frontal gyrus)	PRJNA208503	GEO	public	0	Illumina HiSeq 2000	ILLUMINA	SRP026048
Bisulfite-Seq	101	SAMN02204644	SRX306583	SINGLE	RANDOM	GENOMIC	2013-06-16	9632	6818	Homo sapiens	2013-07-03	SRR901840	SRS445532	GSM1164630	12 years (11 yr 235 d)	male		Middle frontal gyrus from 12 year old male human brain (UMB_616)		brain (middle frontal gyrus)	PRJNA208503	GEO	public	0	Illumina HiSeq 2000	ILLUMINA	SRP026048
Bisulfite-Seq	100	SAMN02204644	SRX306583	SINGLE	RANDOM	GENOMIC	2013-06-16	9536	6928	Homo sapiens	2013-07-03	SRR901841	SRS445532	GSM1164630	12 years (11 yr 235 d)	male		Middle frontal gyrus from 12 year old male human brain (UMB_616)		brain (middle frontal gyrus)	PRJNA208503	GEO	public	0	Illumina HiSeq 2000	ILLUMINA	SRP026048
Bisulfite-Seq	100	SAMN02204644	SRX306583	SINGLE	RANDOM	GENOMIC	2013-06-16	9536	7006	Homo sapiens	2013-07-03	SRR901842	SRS445532	GSM1164630	12 years (11 yr 235 d)	male		Middle frontal gyrus from 12 year old male human brain (UMB_616)		brain (middle frontal gyrus)	PRJNA208503	GEO	public	0	Illumina HiSeq 2000	ILLUMINA	SRP026048
Bisulfite-Seq	100	SAMN02204644	SRX306583	SINGLE	RANDOM	GENOMIC	2013-06-16	776	581	Homo sapiens	2013-07-03	SRR901843	SRS445532	GSM1164630	12 years (11 yr 235 d)	male		Middle frontal gyrus from 12 year old male human brain (UMB_616)		brain (middle frontal gyrus)	PRJNA208503	GEO	public	0	Illumina HiSeq 2000	ILLUMINA	SRP026048
Bisulfite-Seq	101	SAMN02204644	SRX306583	SINGLE	RANDOM	GENOMIC	2013-06-16	9632	6784	Homo sapiens	2013-07-03	SRR901844	SRS445532	GSM1164630	12 years (11 yr 235 d)	male		Middle frontal gyrus from 12 year old male human brain (UMB_616)		brain (middle frontal gyrus)	PRJNA208503	GEO	public	0	Illumina HiSeq 2000	ILLUMINA	SRP026048
Bisulfite-Seq	101	SAMN02204644	SRX306583	SINGLE	RANDOM	GENOMIC	2013-06-16	6816	4804	Homo sapiens	2013-07-03	SRR901845	SRS445532	GSM1164630	12 years (11 yr 235 d)	male		Middle frontal gyrus from 12 year old male human brain (UMB_616)		brain (middle frontal gyrus)	PRJNA208503	GEO	public	0	Illumina HiSeq 2000	ILLUMINA	SRP026048
Bisulfite-Seq	100	SAMN02204644	SRX306583	SINGLE	RANDOM	GENOMIC	2013-06-16	9536	6778	Homo sapiens	2013-07-03	SRR901846	SRS445532	GSM1164630	12 years (11 yr 235 d)	male		Middle frontal gyrus from 12 year old male human brain (UMB_616)		brain (middle frontal gyrus)	PRJNA208503	GEO	public	0	Illumina HiSeq 2000	ILLUMINA	SRP026048
Bisulfite-Seq	100	SAMN02204644	SRX306583	SINGLE	RANDOM	GENOMIC	2013-06-16	9536	6756	Homo sapiens	2013-07-03	SRR901847	SRS445532	GSM1164630	12 years (11 yr 235 d)	male		Middle frontal gyrus from 12 year old male human brain (UMB_616)		brain (middle frontal gyrus)	PRJNA208503	GEO	public	0	Illumina HiSeq 2000	ILLUMINA	SRP026048
Bisulfite-Seq	100	SAMN02204644	SRX306583	SINGLE	RANDOM	GENOMIC	2013-06-16	2337	1669	Homo sapiens	2013-07-03	SRR901848	SRS445532	GSM1164630	12 years (11 yr 235 d)	male		Middle frontal gyrus from 12 year old male human brain (UMB_616)		brain (middle frontal gyrus)	PRJNA208503	GEO	public	0	Illumina HiSeq 2000	ILLUMINA	SRP026048
Bisulfite-Seq	101	SAMN02204644	SRX306583	SINGLE	RANDOM	GENOMIC	2013-06-16	9632	6897	Homo sapiens	2013-07-03	SRR901849	SRS445532	GSM1164630	12 years (11 yr 235 d)	male		Middle frontal gyrus from 12 year old male human brain (UMB_616)		brain (middle frontal gyrus)	PRJNA208503	GEO	public	0	Illumina HiSeq 2000	ILLUMINA	SRP026048
Bisulfite-Seq	101	SAMN02204644	SRX306583	SINGLE	RANDOM	GENOMIC	2013-06-16	9632	6932	Homo sapiens	2013-07-03	SRR901850	SRS445532	GSM1164630	12 years (11 yr 235 d)	male		Middle frontal gyrus from 12 year old male human brain (UMB_616)		brain (middle frontal gyrus)	PRJNA208503	GEO	public	0	Illumina HiSeq 2000	ILLUMINA	SRP026048
Bisulfite-Seq	101	SAMN02204644	SRX306583	SINGLE	RANDOM	GENOMIC	2013-06-16	5937	4171	Homo sapiens	2013-07-03	SRR901851	SRS445532	GSM1164630	12 years (11 yr 235 d)	male		Middle frontal gyrus from 12 year old male human brain (UMB_616)		brain (middle frontal gyrus)	PRJNA208503	GEO	public	0	Illumina HiSeq 2000	ILLUMINA	SRP026048
Bisulfite-Seq	100	SAMN02204642	SRX306584	SINGLE	RANDOM	GENOMIC	2013-06-16	442	334	Homo sapiens	2013-07-03	SRR901855	SRS445515	GSM1164631	16 years (16 yr 63 d)	male		Middle frontal gyrus from 16 year old male human brain (UMB_1158)		brain (middle frontal gyrus)	PRJNA208503	GEO	public	0	Illumina HiSeq 2000	ILLUMINA	SRP026048
Bisulfite-Seq	101	SAMN02204642	SRX306584	SINGLE	RANDOM	GENOMIC	2013-06-16	9632	6785	Homo sapiens	2013-07-03	SRR901856	SRS445515	GSM1164631	16 years (16 yr 63 d)	male		Middle frontal gyrus from 16 year old male human brain (UMB_1158)		brain (middle frontal gyrus)	PRJNA208503	GEO	public	0	Illumina HiSeq 2000	ILLUMINA	SRP026048
Bisulfite-Seq	101	SAMN02204642	SRX306584	SINGLE	RANDOM	GENOMIC	2013-06-16	6028	4249	Homo sapiens	2013-07-03	SRR901857	SRS445515	GSM1164631	16 years (16 yr 63 d)	male		Middle frontal gyrus from 16 year old male human brain (UMB_1158)		brain (middle frontal gyrus)	PRJNA208503	GEO	public	0	Illumina HiSeq 2000	ILLUMINA	SRP026048
Bisulfite-Seq	100	SAMN02204642	SRX306584	SINGLE	RANDOM	GENOMIC	2013-06-16	9536	6852	Homo sapiens	2013-07-03	SRR901858	SRS445515	GSM1164631	16 years (16 yr 63 d)	male		Middle frontal gyrus from 16 year old male human brain (UMB_1158)		brain (middle frontal gyrus)	PRJNA208503	GEO	public	0	Illumina HiSeq 2000	ILLUMINA	SRP026048
Bisulfite-Seq	100	SAMN02204642	SRX306584	SINGLE	RANDOM	GENOMIC	2013-06-16	9536	6804	Homo sapiens	2013-07-03	SRR901859	SRS445515	GSM1164631	16 years (16 yr 63 d)	male		Middle frontal gyrus from 16 year old male human brain (UMB_1158)		brain (middle frontal gyrus)	PRJNA208503	GEO	public	0	Illumina HiSeq 2000	ILLUMINA	SRP026048
Bisulfite-Seq	100	SAMN02204642	SRX306584	SINGLE	RANDOM	GENOMIC	2013-06-16	2233	1613	Homo sapiens	2013-07-03	SRR901860	SRS445515	GSM1164631	16 years (16 yr 63 d)	male		Middle frontal gyrus from 16 year old male human brain (UMB_1158)		brain (middle frontal gyrus)	PRJNA208503	GEO	public	0	Illumina HiSeq 2000	ILLUMINA	SRP026048
Bisulfite-Seq	101	SAMN02204642	SRX306584	SINGLE	RANDOM	GENOMIC	2013-06-16	9632	6873	Homo sapiens	2013-07-03	SRR901861	SRS445515	GSM1164631	16 years (16 yr 63 d)	male		Middle frontal gyrus from 16 year old male human brain (UMB_1158)		brain (middle frontal gyrus)	PRJNA208503	GEO	public	0	Illumina HiSeq 2000	ILLUMINA	SRP026048
Bisulfite-Seq	101	SAMN02204642	SRX306584	SINGLE	RANDOM	GENOMIC	2013-06-16	9632	6938	Homo sapiens	2013-07-03	SRR901862	SRS445515	GSM1164631	16 years (16 yr 63 d)	male		Middle frontal gyrus from 16 year old male human brain (UMB_1158)		brain (middle frontal gyrus)	PRJNA208503	GEO	public	0	Illumina HiSeq 2000	ILLUMINA	SRP026048
