BioSample_s	Experiment_s	LoadDate_s	MBases_l	MBytes_l	ReleaseDate_s	Run_s	SRA_Sample_s	Sample_Name_s	source_name_s	tissue_type_s	Assay_Type_s	AvgSpotLen_l	BioProject_s	Center_Name_s	Consent_s	InsertSize_l	Instrument_s	LibraryLayout_s	LibrarySelection_s	LibrarySource_s	Organism_s	Platform_s	SRA_Study_s
SAMN02928489	SRX657979	2014-07-21	3641	2574	2014-07-31	SRR1521352	SRS663138	GSM1440412	glioma tissue - non-enhancing FLAIR+ sample	glioma - non-enhancing FLAIR+ sample	RNA-Seq	101	PRJNA255754	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	SRP044668
SAMN02928490	SRX657980	2014-07-21	2456	1678	2014-07-31	SRR1521353	SRS663139	GSM1440413	glioma tissue - non-enhancing FLAIR+ sample	glioma - non-enhancing FLAIR+ sample	RNA-Seq	101	PRJNA255754	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	SRP044668
SAMN02928491	SRX657981	2014-07-21	2762	1877	2014-07-31	SRR1521354	SRS663140	GSM1440414	glioma tissue - non-enhancing FLAIR+ sample	glioma - non-enhancing FLAIR+ sample	RNA-Seq	101	PRJNA255754	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	SRP044668
SAMN02928492	SRX657982	2014-07-21	3305	2244	2014-07-31	SRR1521355	SRS663141	GSM1440415	glioma tissue - non-enhancing FLAIR+ sample	glioma - non-enhancing FLAIR+ sample	RNA-Seq	101	PRJNA255754	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	SRP044668
SAMN02928493	SRX657983	2014-07-21	3098	2104	2014-07-31	SRR1521356	SRS663142	GSM1440416	glioma tissue - non-enhancing FLAIR+ sample	glioma - non-enhancing FLAIR+ sample	RNA-Seq	101	PRJNA255754	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	SRP044668
SAMN02928494	SRX657984	2014-07-21	2999	2077	2014-07-31	SRR1521357	SRS663143	GSM1440417	glioma tissue - non-enhancing FLAIR+ sample	glioma - non-enhancing FLAIR+ sample	RNA-Seq	101	PRJNA255754	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	SRP044668
SAMN02928495	SRX657985	2014-07-21	3000	2098	2014-07-31	SRR1521358	SRS663144	GSM1440418	glioma tissue - non-enhancing FLAIR+ sample	glioma - non-enhancing FLAIR+ sample	RNA-Seq	101	PRJNA255754	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	SRP044668
SAMN02928496	SRX657986	2014-07-21	2833	1969	2014-07-31	SRR1521359	SRS663145	GSM1440419	glioma tissue - non-enhancing FLAIR+ sample	glioma - non-enhancing FLAIR+ sample	RNA-Seq	101	PRJNA255754	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	SRP044668
SAMN02928497	SRX657987	2014-07-21	2180	1473	2014-07-31	SRR1521360	SRS663146	GSM1440420	glioma tissue - non-enhancing FLAIR+ sample	glioma - non-enhancing FLAIR+ sample	RNA-Seq	101	PRJNA255754	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	SRP044668
SAMN02928498	SRX657988	2014-07-21	3618	2443	2014-07-31	SRR1521361	SRS663147	GSM1440421	glioma tissue - non-enhancing FLAIR+ sample	glioma - non-enhancing FLAIR+ sample	RNA-Seq	101	PRJNA255754	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	SRP044668
SAMN02928499	SRX657989	2015-12-02	2001	1433	2015-07-22	SRR1521362	SRS663148	GSM1440422	glioma tissue - non-enhancing FLAIR+ sample	glioma - non-enhancing FLAIR+ sample	RNA-Seq	101	PRJNA255754	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	SRP044668
SAMN02928500	SRX657990	2015-12-02	2363	1690	2015-07-22	SRR1521363	SRS663149	GSM1440423	glioma tissue - non-enhancing FLAIR+ sample	glioma - non-enhancing FLAIR+ sample	RNA-Seq	101	PRJNA255754	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	SRP044668
SAMN02928501	SRX657991	2015-12-02	2084	1504	2015-07-22	SRR1521364	SRS663150	GSM1440424	glioma tissue - non-enhancing FLAIR+ sample	glioma - non-enhancing FLAIR+ sample	RNA-Seq	101	PRJNA255754	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	SRP044668
SAMN02928502	SRX657992	2015-12-02	1967	1419	2015-07-22	SRR1521365	SRS663151	GSM1440425	glioma tissue - non-enhancing FLAIR+ sample	glioma - non-enhancing FLAIR+ sample	RNA-Seq	101	PRJNA255754	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	SRP044668
SAMN02928503	SRX657993	2015-12-02	1933	1375	2015-07-22	SRR1521366	SRS663152	GSM1440426	glioma tissue - non-enhancing FLAIR+ sample	glioma - non-enhancing FLAIR+ sample	RNA-Seq	101	PRJNA255754	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	SRP044668
SAMN02928504	SRX657994	2015-12-02	2083	1492	2015-07-22	SRR1521367	SRS663153	GSM1440427	glioma tissue - non-enhancing FLAIR+ sample	glioma - non-enhancing FLAIR+ sample	RNA-Seq	101	PRJNA255754	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	SRP044668
SAMN02928505	SRX657995	2015-12-02	2397	1727	2015-07-22	SRR1521368	SRS663154	GSM1440428	glioma tissue - non-enhancing FLAIR+ sample	glioma - non-enhancing FLAIR+ sample	RNA-Seq	101	PRJNA255754	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	SRP044668
SAMN02928506	SRX657996	2015-12-02	1995	1416	2015-07-22	SRR1521369	SRS663155	GSM1440429	glioma tissue - non-enhancing FLAIR+ sample	glioma - non-enhancing FLAIR+ sample	RNA-Seq	101	PRJNA255754	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	SRP044668
SAMN02928507	SRX657997	2015-12-02	2309	1655	2015-07-22	SRR1521370	SRS663156	GSM1440430	glioma tissue - non-enhancing FLAIR+ sample	glioma - non-enhancing FLAIR+ sample	RNA-Seq	101	PRJNA255754	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	SRP044668
SAMN02928508	SRX657998	2015-12-02	2592	1840	2015-07-22	SRR1521371	SRS663157	GSM1440431	glioma tissue - non-enhancing FLAIR+ sample	glioma - non-enhancing FLAIR+ sample	RNA-Seq	101	PRJNA255754	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	SRP044668
SAMN02928509	SRX657999	2015-12-02	2117	1528	2015-07-22	SRR1521372	SRS663158	GSM1440432	glioma tissue - non-enhancing FLAIR+ sample	glioma - non-enhancing FLAIR+ sample	RNA-Seq	101	PRJNA255754	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	SRP044668
SAMN02928510	SRX658000	2015-12-02	2270	1614	2015-07-22	SRR1521373	SRS663159	GSM1440433	glioma tissue - non-enhancing FLAIR+ sample	glioma - non-enhancing FLAIR+ sample	RNA-Seq	101	PRJNA255754	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	SRP044668
SAMN02928511	SRX658001	2015-12-02	2325	1647	2015-07-22	SRR1521374	SRS663160	GSM1440434	glioma tissue - non-enhancing FLAIR+ sample	glioma - non-enhancing FLAIR+ sample	RNA-Seq	101	PRJNA255754	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	SRP044668
SAMN02928512	SRX658002	2015-12-02	2002	1434	2015-07-22	SRR1521375	SRS663161	GSM1440435	glioma tissue - non-enhancing FLAIR+ sample	glioma - non-enhancing FLAIR+ sample	RNA-Seq	101	PRJNA255754	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	SRP044668
SAMN02928513	SRX658003	2015-12-02	1604	1131	2015-07-22	SRR1521376	SRS663162	GSM1440436	glioma tissue - non-enhancing FLAIR+ sample	glioma - non-enhancing FLAIR+ sample	RNA-Seq	101	PRJNA255754	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	SRP044668
SAMN02928514	SRX658004	2015-12-02	1868	1314	2015-07-22	SRR1521377	SRS663163	GSM1440437	glioma tissue - non-enhancing FLAIR+ sample	glioma - non-enhancing FLAIR+ sample	RNA-Seq	101	PRJNA255754	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	SRP044668
SAMN02928515	SRX658005	2015-12-02	2337	1670	2015-07-22	SRR1521378	SRS663164	GSM1440438	glioma tissue - non-enhancing FLAIR+ sample	glioma - non-enhancing FLAIR+ sample	RNA-Seq	101	PRJNA255754	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	SRP044668
SAMN02928516	SRX658006	2015-12-02	2907	1992	2015-07-22	SRR1521379	SRS663165	GSM1440439	glioma tissue - non-enhancing FLAIR+ sample	glioma - non-enhancing FLAIR+ sample	RNA-Seq	101	PRJNA255754	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	SRP044668
SAMN02928517	SRX658007	2015-12-02	2168	1497	2015-07-22	SRR1521380	SRS663166	GSM1440440	glioma tissue - non-enhancing FLAIR+ sample	glioma - non-enhancing FLAIR+ sample	RNA-Seq	101	PRJNA255754	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	SRP044668
