BioSample_s	Experiment_s	MBases_l	MBytes_l	Organism_s	Run_s	SRA_Sample_s	Sample_Name_s	Sex_s	Assay_Type_s	AvgSpotLen_l	BioProject_s	Center_Name_s	Consent_s	InsertSize_l	Instrument_s	LibraryLayout_s	LibrarySelection_s	LibrarySource_s	LoadDate_s	Platform_s	ReleaseDate_s	SRA_Study_s	source_name_s
SAMN02369557	SRX361119	1039	733	Homo sapiens	SRR1004284	SRS488261	GSM1241350	male	RNA-Seq	100	PRJNA222268	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	2013-09-30	ILLUMINA	2014-05-15	SRP030628	prefrontal cortex (PFC)
SAMN02369558	SRX361120	998	693	Homo sapiens	SRR1004285	SRS488262	GSM1241351	male	RNA-Seq	100	PRJNA222268	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	2013-09-30	ILLUMINA	2014-05-15	SRP030628	prefrontal cortex (PFC)
SAMN02369564	SRX361121	755	480	Homo sapiens	SRR1004286	SRS488263	GSM1241352	female	RNA-Seq	100	PRJNA222268	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	2013-09-30	ILLUMINA	2014-05-15	SRP030628	prefrontal cortex (PFC)
SAMN02369559	SRX361122	887	612	Homo sapiens	SRR1004287	SRS488264	GSM1241353	female	RNA-Seq	100	PRJNA222268	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	2013-09-30	ILLUMINA	2014-05-15	SRP030628	prefrontal cortex (PFC)
SAMN02369561	SRX361123	921	648	Homo sapiens	SRR1004288	SRS488265	GSM1241354	male	RNA-Seq	100	PRJNA222268	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	2013-09-30	ILLUMINA	2014-05-15	SRP030628	prefrontal cortex (PFC)
SAMN02369563	SRX361124	1075	745	Homo sapiens	SRR1004289	SRS488266	GSM1241355	male	RNA-Seq	100	PRJNA222268	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	2013-09-30	ILLUMINA	2014-05-15	SRP030628	prefrontal cortex (PFC)
SAMN02369560	SRX361125	1053	739	Homo sapiens	SRR1004290	SRS488267	GSM1241356	male	RNA-Seq	100	PRJNA222268	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	2013-09-30	ILLUMINA	2014-05-15	SRP030628	prefrontal cortex (PFC)
SAMN02369568	SRX361126	1055	730	Homo sapiens	SRR1004291	SRS488268	GSM1241357	male	RNA-Seq	100	PRJNA222268	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	2013-09-30	ILLUMINA	2014-05-15	SRP030628	prefrontal cortex (PFC)
SAMN02369562	SRX361127	1005	700	Homo sapiens	SRR1004292	SRS488269	GSM1241358	male	RNA-Seq	100	PRJNA222268	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	2013-09-30	ILLUMINA	2014-05-15	SRP030628	prefrontal cortex (PFC)
SAMN02369567	SRX361128	999	694	Homo sapiens	SRR1004293	SRS488270	GSM1241359	male	RNA-Seq	100	PRJNA222268	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	2013-09-30	ILLUMINA	2014-05-15	SRP030628	prefrontal cortex (PFC)
SAMN02369565	SRX361129	928	583	Homo sapiens	SRR1004294	SRS488271	GSM1241360	female	RNA-Seq	100	PRJNA222268	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	2013-09-30	ILLUMINA	2014-05-15	SRP030628	prefrontal cortex (PFC)
SAMN02369566	SRX361130	1156	800	Homo sapiens	SRR1004295	SRS488272	GSM1241361	female	RNA-Seq	100	PRJNA222268	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	2013-09-30	ILLUMINA	2014-05-15	SRP030628	prefrontal cortex (PFC)
SAMN02369569	SRX361131	794	563	Homo sapiens	SRR1004296	SRS488273	GSM1241362	female	RNA-Seq	100	PRJNA222268	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	2013-09-30	ILLUMINA	2014-05-15	SRP030628	prefrontal cortex (PFC)
SAMN02369575	SRX361132	933	649	Homo sapiens	SRR1004297	SRS488274	GSM1241363	male	RNA-Seq	100	PRJNA222268	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	2013-09-30	ILLUMINA	2014-05-15	SRP030628	prefrontal cortex (PFC)
SAMN02369572	SRX361133	913	629	Homo sapiens	SRR1004298	SRS488276	GSM1241364	female	RNA-Seq	100	PRJNA222268	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	2013-09-30	ILLUMINA	2014-05-15	SRP030628	prefrontal cortex (PFC)
