AvgSpotLen_l	BioSample_s	Experiment_s	LoadDate_s	MBases_l	MBytes_l	Organism_s	Run_s	SRA_Sample_s	Sample_Name_s	age_s	cell_subtype_s	cell_type_s	source_name_s	Assay_Type_s	BioProject_s	Center_Name_s	Consent_s	InsertSize_l	Instrument_s	LibraryLayout_s	LibrarySelection_s	LibrarySource_s	Platform_s	ReleaseDate_s	SRA_Study_s
148	SAMN04145499	SRX1303782	2015-10-05	69	25	Homo sapiens	SRR2557083	SRS1098751	GSM1901303	18 gestational weeks	HepaCAM positive cells	Astrocyte	Fetal cortex	RNA-Seq	PRJNA297760	GEO	public	0	NextSeq 500	PAIRED	cDNA	TRANSCRIPTOMIC	ILLUMINA	2015-12-11	SRP064454
148	SAMN04145500	SRX1303783	2015-10-05	50	19	Homo sapiens	SRR2557084	SRS1098748	GSM1901304	18 gestational weeks	HepaCAM positive cells	Astrocyte	Fetal cortex	RNA-Seq	PRJNA297760	GEO	public	0	NextSeq 500	PAIRED	cDNA	TRANSCRIPTOMIC	ILLUMINA	2015-12-11	SRP064454
148	SAMN04145501	SRX1303784	2015-10-05	23	8	Homo sapiens	SRR2557085	SRS1098750	GSM1901305	18.5 gestational weeks	HepaCAM positive cells	Astrocyte	Fetal cortex	RNA-Seq	PRJNA297760	GEO	public	0	NextSeq 500	PAIRED	cDNA	TRANSCRIPTOMIC	ILLUMINA	2015-12-11	SRP064454
148	SAMN04145502	SRX1303785	2015-10-05	38	14	Homo sapiens	SRR2557086	SRS1098749	GSM1901306	18.1 gestational weeks	HepaCAM positive cells	Astrocyte	Fetal cortex	RNA-Seq	PRJNA297760	GEO	public	0	NextSeq 500	PAIRED	cDNA	TRANSCRIPTOMIC	ILLUMINA	2015-12-11	SRP064454
148	SAMN04145503	SRX1303786	2015-10-05	38	14	Homo sapiens	SRR2557087	SRS1098747	GSM1901307	18.5 gestational weeks	HepaCAM positive cells	Astrocyte	Fetal cortex	RNA-Seq	PRJNA297760	GEO	public	0	NextSeq 500	PAIRED	cDNA	TRANSCRIPTOMIC	ILLUMINA	2015-12-11	SRP064454
148	SAMN04145504	SRX1303787	2015-10-05	47	17	Homo sapiens	SRR2557088	SRS1098746	GSM1901308					RNA-Seq	PRJNA297760	GEO	public	0	NextSeq 500	PAIRED	cDNA	TRANSCRIPTOMIC	ILLUMINA	2015-12-11	SRP064454
300	SAMN04145505	SRX1303788	2015-10-14	4594	2143	Homo sapiens	SRR2557089	SRS1098745	GSM1901309	8 years old	HepaCAM positive cells	Astrocyte	Adult temporal lobe	RNA-Seq	PRJNA297760	GEO	public	0	NextSeq 500	PAIRED	cDNA	TRANSCRIPTOMIC	ILLUMINA	2015-12-11	SRP064454
150	SAMN04145506	SRX1303789	2015-10-14	3662	1740	Homo sapiens	SRR2557090	SRS1098744	GSM1901310	13 years old	HepaCAM positive cells	Astrocyte	Adult temporal lobe	RNA-Seq	PRJNA297760	GEO	public	0	NextSeq 500	PAIRED	cDNA	TRANSCRIPTOMIC	ILLUMINA	2015-12-11	SRP064454
300	SAMN04145507	SRX1303790	2015-10-14	4861	2273	Homo sapiens	SRR2557091	SRS1098742	GSM1901311	16 years old	HepaCAM positive cells	Astrocyte	Adult temporal lobe	RNA-Seq	PRJNA297760	GEO	public	0	NextSeq 500	PAIRED	cDNA	TRANSCRIPTOMIC	ILLUMINA	2015-12-11	SRP064454
300	SAMN04145508	SRX1303791	2015-10-14	7254	3367	Homo sapiens	SRR2557092	SRS1098743	GSM1901312	21 years old	HepaCAM positive cells	Astrocyte	Adult temporal lobe	RNA-Seq	PRJNA297760	GEO	public	0	NextSeq 500	PAIRED	cDNA	TRANSCRIPTOMIC	ILLUMINA	2015-12-11	SRP064454
