AvgSpotLen_l	BioSample_s	Experiment_s	Instrument_s	MBases_l	MBytes_l	Run_s	SRA_Sample_s	Sample_Name_s	disease_state_s	Assay_Type_s	BioProject_s	Center_Name_s	Consent_s	InsertSize_l	LibraryLayout_s	LibrarySelection_s	LibrarySource_s	LoadDate_s	Organism_s	Platform_s	ReleaseDate_s	SRA_Study_s	source_name_s	tissue_s
102	SAMN02441946	SRX390435	Illumina Genome Analyzer II	2248	995	SRR1047813	SRS513906	GSM1288369	BD	RNA-Seq	PRJNA231202	GEO	public	0	PAIRED	cDNA	TRANSCRIPTOMIC	2013-12-11	Homo sapiens	ILLUMINA	2014-01-08	SRP033725	postmortem brain	dorsolateral prefrontal cortex
128	SAMN02441946	SRX390435	Illumina Genome Analyzer II	2704	1399	SRR1047814	SRS513906	GSM1288369	BD	RNA-Seq	PRJNA231202	GEO	public	0	PAIRED	cDNA	TRANSCRIPTOMIC	2013-12-11	Homo sapiens	ILLUMINA	2014-01-08	SRP033725	postmortem brain	dorsolateral prefrontal cortex
128	SAMN02441946	SRX390435	Illumina Genome Analyzer II	3335	1654	SRR1047815	SRS513906	GSM1288369	BD	RNA-Seq	PRJNA231202	GEO	public	0	PAIRED	cDNA	TRANSCRIPTOMIC	2013-12-11	Homo sapiens	ILLUMINA	2014-01-08	SRP033725	postmortem brain	dorsolateral prefrontal cortex
128	SAMN02441946	SRX390435	Illumina Genome Analyzer II	3308	1637	SRR1047816	SRS513906	GSM1288369	BD	RNA-Seq	PRJNA231202	GEO	public	0	PAIRED	cDNA	TRANSCRIPTOMIC	2013-12-11	Homo sapiens	ILLUMINA	2014-01-08	SRP033725	postmortem brain	dorsolateral prefrontal cortex
128	SAMN02441946	SRX390435	Illumina Genome Analyzer II	3782	1907	SRR1047817	SRS513906	GSM1288369	BD	RNA-Seq	PRJNA231202	GEO	public	0	PAIRED	cDNA	TRANSCRIPTOMIC	2013-12-11	Homo sapiens	ILLUMINA	2014-01-08	SRP033725	postmortem brain	dorsolateral prefrontal cortex
102	SAMN02441929	SRX390436	Illumina Genome Analyzer II	2411	1035	SRR1047818	SRS513907	GSM1288370	BD	RNA-Seq	PRJNA231202	GEO	public	0	PAIRED	cDNA	TRANSCRIPTOMIC	2013-12-11	Homo sapiens	ILLUMINA	2014-01-08	SRP033725	postmortem brain	dorsolateral prefrontal cortex
128	SAMN02441929	SRX390436	Illumina Genome Analyzer II	2948	1516	SRR1047819	SRS513907	GSM1288370	BD	RNA-Seq	PRJNA231202	GEO	public	0	PAIRED	cDNA	TRANSCRIPTOMIC	2013-12-11	Homo sapiens	ILLUMINA	2014-01-08	SRP033725	postmortem brain	dorsolateral prefrontal cortex
128	SAMN02441929	SRX390436	Illumina Genome Analyzer II	2982	1550	SRR1047820	SRS513907	GSM1288370	BD	RNA-Seq	PRJNA231202	GEO	public	0	PAIRED	cDNA	TRANSCRIPTOMIC	2013-12-11	Homo sapiens	ILLUMINA	2014-01-08	SRP033725	postmortem brain	dorsolateral prefrontal cortex
128	SAMN02441929	SRX390436	Illumina Genome Analyzer II	2869	1488	SRR1047821	SRS513907	GSM1288370	BD	RNA-Seq	PRJNA231202	GEO	public	0	PAIRED	cDNA	TRANSCRIPTOMIC	2013-12-11	Homo sapiens	ILLUMINA	2014-01-08	SRP033725	postmortem brain	dorsolateral prefrontal cortex
128	SAMN02441929	SRX390436	Illumina Genome Analyzer II	3251	1663	SRR1047822	SRS513907	GSM1288370	BD	RNA-Seq	PRJNA231202	GEO	public	0	PAIRED	cDNA	TRANSCRIPTOMIC	2013-12-11	Homo sapiens	ILLUMINA	2014-01-08	SRP033725	postmortem brain	dorsolateral prefrontal cortex
102	SAMN02441931	SRX390437	Illumina Genome Analyzer II	2871	1350	SRR1047823	SRS513908	GSM1288371	BD	RNA-Seq	PRJNA231202	GEO	public	0	PAIRED	cDNA	TRANSCRIPTOMIC	2013-12-11	Homo sapiens	ILLUMINA	2014-01-08	SRP033725	postmortem brain	dorsolateral prefrontal cortex
128	SAMN02441931	SRX390437	Illumina Genome Analyzer II	3322	1788	SRR1047824	SRS513908	GSM1288371	BD	RNA-Seq	PRJNA231202	GEO	public	0	PAIRED	cDNA	TRANSCRIPTOMIC	2013-12-11	Homo sapiens	ILLUMINA	2014-01-08	SRP033725	postmortem brain	dorsolateral prefrontal cortex
128	SAMN02441931	SRX390437	Illumina Genome Analyzer II	3618	1886	SRR1047825	SRS513908	GSM1288371	BD	RNA-Seq	PRJNA231202	GEO	public	0	PAIRED	cDNA	TRANSCRIPTOMIC	2013-12-11	Homo sapiens	ILLUMINA	2014-01-08	SRP033725	postmortem brain	dorsolateral prefrontal cortex
128	SAMN02441931	SRX390437	Illumina Genome Analyzer II	3529	1873	SRR1047826	SRS513908	GSM1288371	BD	RNA-Seq	PRJNA231202	GEO	public	0	PAIRED	cDNA	TRANSCRIPTOMIC	2013-12-11	Homo sapiens	ILLUMINA	2014-01-08	SRP033725	postmortem brain	dorsolateral prefrontal cortex
128	SAMN02441931	SRX390437	Illumina Genome Analyzer II	3567	1872	SRR1047827	SRS513908	GSM1288371	BD	RNA-Seq	PRJNA231202	GEO	public	0	PAIRED	cDNA	TRANSCRIPTOMIC	2013-12-11	Homo sapiens	ILLUMINA	2014-01-08	SRP033725	postmortem brain	dorsolateral prefrontal cortex
102	SAMN02441949	SRX390438	Illumina Genome Analyzer II	2550	1138	SRR1047828	SRS513909	GSM1288372	BD	RNA-Seq	PRJNA231202	GEO	public	0	PAIRED	cDNA	TRANSCRIPTOMIC	2013-12-11	Homo sapiens	ILLUMINA	2014-01-08	SRP033725	postmortem brain	dorsolateral prefrontal cortex
128	SAMN02441949	SRX390438	Illumina Genome Analyzer II	3252	1684	SRR1047829	SRS513909	GSM1288372	BD	RNA-Seq	PRJNA231202	GEO	public	0	PAIRED	cDNA	TRANSCRIPTOMIC	2013-12-11	Homo sapiens	ILLUMINA	2014-01-08	SRP033725	postmortem brain	dorsolateral prefrontal cortex
128	SAMN02441949	SRX390438	Illumina Genome Analyzer II	3701	1842	SRR1047830	SRS513909	GSM1288372	BD	RNA-Seq	PRJNA231202	GEO	public	0	PAIRED	cDNA	TRANSCRIPTOMIC	2013-12-11	Homo sapiens	ILLUMINA	2014-01-08	SRP033725	postmortem brain	dorsolateral prefrontal cortex
128	SAMN02441949	SRX390438	Illumina Genome Analyzer II	3674	1822	SRR1047831	SRS513909	GSM1288372	BD	RNA-Seq	PRJNA231202	GEO	public	0	PAIRED	cDNA	TRANSCRIPTOMIC	2013-12-11	Homo sapiens	ILLUMINA	2014-01-08	SRP033725	postmortem brain	dorsolateral prefrontal cortex
128	SAMN02441949	SRX390438	Illumina Genome Analyzer II	3714	1840	SRR1047832	SRS513909	GSM1288372	BD	RNA-Seq	PRJNA231202	GEO	public	0	PAIRED	cDNA	TRANSCRIPTOMIC	2013-12-11	Homo sapiens	ILLUMINA	2014-01-08	SRP033725	postmortem brain	dorsolateral prefrontal cortex
102	SAMN02441930	SRX390439	Illumina Genome Analyzer II	2740	1233	SRR1047833	SRS513910	GSM1288373	BD	RNA-Seq	PRJNA231202	GEO	public	0	PAIRED	cDNA	TRANSCRIPTOMIC	2013-12-11	Homo sapiens	ILLUMINA	2014-01-08	SRP033725	postmortem brain	dorsolateral prefrontal cortex
