Assay_Type_s	BioSample_s	Experiment_s	LibrarySelection_s	LibrarySource_s	LoadDate_s	MBases_l	MBytes_l	Run_s	SRA_Sample_s	Sample_Name_s	isolate_s	AvgSpotLen_l	BioProject_s	BioSampleModel_s	Center_Name_s	Consent_s	InsertSize_l	Instrument_s	LibraryLayout_s	Organism_s	Platform_s	ReleaseDate_s	SRA_Study_s	biomaterial_provider_s	sex_s	tissue_s
MeDIP-Seq	SAMN02997753	SRX682854	5-methylcytidine antibody	GENOMIC	2014-08-29	2479	1775	SRR1561389	SRS686343	GB2	GB2	51	PRJNA258436	Human	INSTITUTE OF MOLECULAR AND CELLULAR BIOSCIENCES, T	public	0	Illumina HiSeq 2000	SINGLE	Homo sapiens	ILLUMINA	2014-09-19	SRP045590	Laboratory of Molecular and Genetic Information, Institute of Molecular and Cellular Biosciences, The University of Tokyo	male	brain
MeDIP-Seq	SAMN02997753	SRX689734	RANDOM	GENOMIC	2014-08-29	3076	2187	SRR1561423	SRS686343	GB2	GB2	51	PRJNA258436	Human	INSTITUTE OF MOLECULAR AND CELLULAR BIOSCIENCES, T	public	0	Illumina HiSeq 2000	SINGLE	Homo sapiens	ILLUMINA	2014-09-19	SRP045590	Laboratory of Molecular and Genetic Information, Institute of Molecular and Cellular Biosciences, The University of Tokyo	male	brain
MeDIP-Seq	SAMN02997753	SRX689735	5-methylcytidine antibody	GENOMIC	2014-08-30	2295	1642	SRR1561424	SRS686343	GB2	GB2	51	PRJNA258436	Human	INSTITUTE OF MOLECULAR AND CELLULAR BIOSCIENCES, T	public	0	Illumina HiSeq 2000	SINGLE	Homo sapiens	ILLUMINA	2014-09-19	SRP045590	Laboratory of Molecular and Genetic Information, Institute of Molecular and Cellular Biosciences, The University of Tokyo	male	brain
MeDIP-Seq	SAMN02997753	SRX689736	RANDOM	GENOMIC	2014-08-30	2838	1995	SRR1561425	SRS686343	GB2	GB2	51	PRJNA258436	Human	INSTITUTE OF MOLECULAR AND CELLULAR BIOSCIENCES, T	public	0	Illumina HiSeq 2000	SINGLE	Homo sapiens	ILLUMINA	2014-09-19	SRP045590	Laboratory of Molecular and Genetic Information, Institute of Molecular and Cellular Biosciences, The University of Tokyo	male	brain
RNA-Seq	SAMN02997753	SRX689768	cDNA	TRANSCRIPTOMIC	2014-08-30	2322	1409	SRR1561956	SRS686343	GB2	GB2	51	PRJNA258436	Human	INSTITUTE OF MOLECULAR AND CELLULAR BIOSCIENCES, T	public	0	Illumina HiSeq 2000	SINGLE	Homo sapiens	ILLUMINA	2014-09-19	SRP045590	Laboratory of Molecular and Genetic Information, Institute of Molecular and Cellular Biosciences, The University of Tokyo	male	brain
RNA-Seq	SAMN02997753	SRX690241	cDNA	TRANSCRIPTOMIC	2014-08-30	2290	1398	SRR1561957	SRS686343	GB2	GB2	51	PRJNA258436	Human	INSTITUTE OF MOLECULAR AND CELLULAR BIOSCIENCES, T	public	0	Illumina HiSeq 2000	SINGLE	Homo sapiens	ILLUMINA	2014-09-19	SRP045590	Laboratory of Molecular and Genetic Information, Institute of Molecular and Cellular Biosciences, The University of Tokyo	male	brain
RNA-Seq	SAMN02997753	SRX690242	cDNA	TRANSCRIPTOMIC	2014-08-31	2336	1418	SRR1561958	SRS686343	GB2	GB2	51	PRJNA258436	Human	INSTITUTE OF MOLECULAR AND CELLULAR BIOSCIENCES, T	public	0	Illumina HiSeq 2000	SINGLE	Homo sapiens	ILLUMINA	2014-09-19	SRP045590	Laboratory of Molecular and Genetic Information, Institute of Molecular and Cellular Biosciences, The University of Tokyo	male	brain
RNA-Seq	SAMN02997753	SRX690243	cDNA	TRANSCRIPTOMIC	2014-08-31	2300	1405	SRR1561959	SRS686343	GB2	GB2	51	PRJNA258436	Human	INSTITUTE OF MOLECULAR AND CELLULAR BIOSCIENCES, T	public	0	Illumina HiSeq 2000	SINGLE	Homo sapiens	ILLUMINA	2014-09-19	SRP045590	Laboratory of Molecular and Genetic Information, Institute of Molecular and Cellular Biosciences, The University of Tokyo	male	brain
RNA-Seq	SAMN02997753	SRX690244	cDNA	TRANSCRIPTOMIC	2014-08-31	2356	1436	SRR1561960	SRS686343	GB2	GB2	51	PRJNA258436	Human	INSTITUTE OF MOLECULAR AND CELLULAR BIOSCIENCES, T	public	0	Illumina HiSeq 2000	SINGLE	Homo sapiens	ILLUMINA	2014-09-19	SRP045590	Laboratory of Molecular and Genetic Information, Institute of Molecular and Cellular Biosciences, The University of Tokyo	male	brain
RNA-Seq	SAMN02997753	SRX690245	cDNA	TRANSCRIPTOMIC	2014-08-31	2239	1365	SRR1561961	SRS686343	GB2	GB2	51	PRJNA258436	Human	INSTITUTE OF MOLECULAR AND CELLULAR BIOSCIENCES, T	public	0	Illumina HiSeq 2000	SINGLE	Homo sapiens	ILLUMINA	2014-09-19	SRP045590	Laboratory of Molecular and Genetic Information, Institute of Molecular and Cellular Biosciences, The University of Tokyo	male	brain
