AvgSpotLen_l	BioSample_s	Experiment_s	MBases_l	MBytes_l	Run_s	SRA_Sample_s	Sample_Name_s	history_s	Assay_Type_s	BioProject_s	Center_Name_s	Consent_s	InsertSize_l	Instrument_s	LibraryLayout_s	LibrarySelection_s	LibrarySource_s	LoadDate_s	Organism_s	Platform_s	ReleaseDate_s	SRA_Study_s	source_name_s
202	SAMN02251223	SRX322602	5479	3584	SRR934717	SRS457680	GSM1185864	oligodendroastrocytomas	RNA-Seq	PRJNA212047	GEO	public	0	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	2013-07-15	Homo sapiens	ILLUMINA	2014-07-21	SRP027383	Tumor cells
200	SAMN02251267	SRX322603	3784	2853	SRR934718	SRS457681	GSM1185865	oligodendroastrocytomas	RNA-Seq	PRJNA212047	GEO	public	0	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	2013-07-15	Homo sapiens	ILLUMINA	2014-07-21	SRP027383	Tumor cells
202	SAMN02251226	SRX322604	3794	2650	SRR934719	SRS457682	GSM1185866	oligodendrogliomas	RNA-Seq	PRJNA212047	GEO	public	0	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	2013-07-15	Homo sapiens	ILLUMINA	2014-07-21	SRP027383	Tumor cells
202	SAMN02251225	SRX322605	5806	3829	SRR934720	SRS457683	GSM1185867	oligodendroastrocytomas	RNA-Seq	PRJNA212047	GEO	public	0	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	2013-07-15	Homo sapiens	ILLUMINA	2014-07-21	SRP027383	Tumor cells
200	SAMN02251260	SRX322606	2964	2267	SRR934721	SRS457684	GSM1185868	oligodendroastrocytomas	RNA-Seq	PRJNA212047	GEO	public	0	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	2013-07-15	Homo sapiens	ILLUMINA	2014-07-21	SRP027383	Tumor cells
202	SAMN02251281	SRX322607	4152	2724	SRR934722	SRS457685	GSM1185869	recurrent astrocytomas	RNA-Seq	PRJNA212047	GEO	public	0	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	2013-07-15	Homo sapiens	ILLUMINA	2014-07-21	SRP027383	Tumor cells
202	SAMN02251275	SRX322608	3734	2384	SRR934723	SRS457686	GSM1185870	oligodendroastrocytomas	RNA-Seq	PRJNA212047	GEO	public	0	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	2013-07-15	Homo sapiens	ILLUMINA	2014-07-21	SRP027383	Tumor cells
200	SAMN02251256	SRX322609	4554	3344	SRR934724	SRS457687	GSM1185871	astrocytomas	RNA-Seq	PRJNA212047	GEO	public	0	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	2013-07-15	Homo sapiens	ILLUMINA	2014-07-21	SRP027383	Tumor cells
202	SAMN02251274	SRX322610	3430	2260	SRR934725	SRS457688	GSM1185872	oligodendroastrocytomas	RNA-Seq	PRJNA212047	GEO	public	0	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	2013-07-15	Homo sapiens	ILLUMINA	2014-07-21	SRP027383	Tumor cells
200	SAMN02251272	SRX322611	4565	3207	SRR934726	SRS457689	GSM1185873	astrocytomas	RNA-Seq	PRJNA212047	GEO	public	0	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	2013-07-15	Homo sapiens	ILLUMINA	2014-07-21	SRP027383	Tumor cells
202	SAMN02251261	SRX322612	3742	2410	SRR934727	SRS457690	GSM1185874	astrocytomas	RNA-Seq	PRJNA212047	GEO	public	0	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	2013-07-15	Homo sapiens	ILLUMINA	2014-07-21	SRP027383	Tumor cells
200	SAMN02251273	SRX322613	4541	3184	SRR934728	SRS457691	GSM1185875	astrocytomas	RNA-Seq	PRJNA212047	GEO	public	0	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	2013-07-15	Homo sapiens	ILLUMINA	2014-07-21	SRP027383	Tumor cells
202	SAMN02251270	SRX322614	3880	2635	SRR934729	SRS457692	GSM1185876	astrocytomas	RNA-Seq	PRJNA212047	GEO	public	0	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	2013-07-15	Homo sapiens	ILLUMINA	2014-07-21	SRP027383	Tumor cells
202	SAMN02251258	SRX322615	5208	3706	SRR934730	SRS457693	GSM1185877	secondary Glioblastomas	RNA-Seq	PRJNA212047	GEO	public	0	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	2013-07-15	Homo sapiens	ILLUMINA	2014-07-21	SRP027383	Tumor cells
202	SAMN02251271	SRX322616	5616	3696	SRR934731	SRS457694	GSM1185878	oligodendroastrocytomas	RNA-Seq	PRJNA212047	GEO	public	0	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	2013-07-15	Homo sapiens	ILLUMINA	2014-07-21	SRP027383	Tumor cells
202	SAMN02251268	SRX322617	4694	3076	SRR934732	SRS457695	GSM1185879	primary Glioblastomas	RNA-Seq	PRJNA212047	GEO	public	0	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	2013-07-15	Homo sapiens	ILLUMINA	2014-07-21	SRP027383	Tumor cells
202	SAMN02251246	SRX322618	5705	4104	SRR934733	SRS457696	GSM1185880	oligodendrogliomas	RNA-Seq	PRJNA212047	GEO	public	0	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	2013-07-15	Homo sapiens	ILLUMINA	2014-07-21	SRP027383	Tumor cells
202	SAMN02251266	SRX322619	5864	3847	SRR934734	SRS457697	GSM1185881	anaplastic oligodendrogliomas	RNA-Seq	PRJNA212047	GEO	public	0	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	2013-07-15	Homo sapiens	ILLUMINA	2014-07-21	SRP027383	Tumor cells
200	SAMN02251263	SRX322620	4754	3581	SRR934735	SRS457698	GSM1185882	oligodendrogliomas	RNA-Seq	PRJNA212047	GEO	public	0	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	2013-07-15	Homo sapiens	ILLUMINA	2014-07-21	SRP027383	Tumor cells
202	SAMN02251250	SRX322621	2912	2047	SRR934736	SRS457699	GSM1185883	astrocytomas	RNA-Seq	PRJNA212047	GEO	public	0	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	2013-07-15	Homo sapiens	ILLUMINA	2014-07-21	SRP027383	Tumor cells
200	SAMN02251265	SRX322622	4609	3527	SRR934737	SRS457700	GSM1185884	recurrent Glioblastomas	RNA-Seq	PRJNA212047	GEO	public	0	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	2013-07-15	Homo sapiens	ILLUMINA	2014-07-21	SRP027383	Tumor cells
