BioSample_s	Experiment_s	MBases_l	MBytes_l	Run_s	SRA_Sample_s	Sample_Name_s	genotype_s	tissue_s	Assay_Type_s	AvgSpotLen_l	BioProject_s	Center_Name_s	Consent_s	InsertSize_l	Instrument_s	LibraryLayout_s	LibrarySelection_s	LibrarySource_s	LoadDate_s	Organism_s	Platform_s	ReleaseDate_s	SRA_Study_s	source_name_s
SAMN03444505	SRX966621	9630	6176	SRR1927019	SRS882170	GSM1642278	c9ALS	Cerebellum	RNA-Seq	202	PRJNA279249	GEO	public	0	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	2015-03-24	Homo sapiens	ILLUMINA	2015-07-20	SRP056477	brain
SAMN03444507	SRX966622	6633	4343	SRR1927020	SRS882169	GSM1642279	c9ALS	Frontal Cortex	RNA-Seq	202	PRJNA279249	GEO	public	0	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	2015-03-24	Homo sapiens	ILLUMINA	2015-07-20	SRP056477	brain
SAMN03444506	SRX966623	10441	6712	SRR1927021	SRS882168	GSM1642280	c9ALS	Cerebellum	RNA-Seq	202	PRJNA279249	GEO	public	0	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	2015-03-24	Homo sapiens	ILLUMINA	2015-07-20	SRP056477	brain
SAMN03444500	SRX966624	7377	4830	SRR1927022	SRS882167	GSM1642281	c9ALS	Frontal Cortex	RNA-Seq	202	PRJNA279249	GEO	public	0	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	2015-03-24	Homo sapiens	ILLUMINA	2015-07-20	SRP056477	brain
SAMN03444508	SRX966625	8610	5688	SRR1927023	SRS882166	GSM1642282	c9ALS	Cerebellum	RNA-Seq	202	PRJNA279249	GEO	public	0	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	2015-03-24	Homo sapiens	ILLUMINA	2015-07-20	SRP056477	brain
SAMN03444498	SRX966626	7217	4802	SRR1927024	SRS882164	GSM1642283	c9ALS	Frontal Cortex	RNA-Seq	202	PRJNA279249	GEO	public	0	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	2015-03-24	Homo sapiens	ILLUMINA	2015-07-20	SRP056477	brain
SAMN03444503	SRX966627	10294	6786	SRR1927025	SRS882165	GSM1642284	c9ALS	Cerebellum	RNA-Seq	202	PRJNA279249	GEO	public	0	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	2015-03-24	Homo sapiens	ILLUMINA	2015-07-20	SRP056477	brain
SAMN03444499	SRX966628	7395	4953	SRR1927026	SRS882163	GSM1642285	c9ALS	Frontal Cortex	RNA-Seq	202	PRJNA279249	GEO	public	0	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	2015-03-24	Homo sapiens	ILLUMINA	2015-07-20	SRP056477	brain
SAMN03444501	SRX966629	7618	4873	SRR1927027	SRS882162	GSM1642286	c9ALS	Cerebellum	RNA-Seq	202	PRJNA279249	GEO	public	0	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	2015-03-24	Homo sapiens	ILLUMINA	2015-07-20	SRP056477	brain
SAMN03444497	SRX966630	8227	5351	SRR1927028	SRS882160	GSM1642287	c9ALS	Frontal Cortex	RNA-Seq	202	PRJNA279249	GEO	public	0	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	2015-03-24	Homo sapiens	ILLUMINA	2015-07-20	SRP056477	brain
SAMN03444502	SRX966631	9985	6606	SRR1927029	SRS882161	GSM1642288	c9ALS	Cerebellum	RNA-Seq	202	PRJNA279249	GEO	public	0	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	2015-03-24	Homo sapiens	ILLUMINA	2015-07-20	SRP056477	brain
SAMN03444509	SRX966632	8564	5699	SRR1927030	SRS882159	GSM1642289	c9ALS	Frontal Cortex	RNA-Seq	202	PRJNA279249	GEO	public	0	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	2015-03-24	Homo sapiens	ILLUMINA	2015-07-20	SRP056477	brain
SAMN03444530	SRX966633	9492	6290	SRR1927031	SRS882158	GSM1642290	c9ALS	Cerebellum	RNA-Seq	202	PRJNA279249	GEO	public	0	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	2015-03-24	Homo sapiens	ILLUMINA	2015-07-20	SRP056477	brain
SAMN03444547	SRX966634	8975	5976	SRR1927032	SRS882157	GSM1642291	c9ALS	Frontal Cortex	RNA-Seq	202	PRJNA279249	GEO	public	0	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	2015-03-24	Homo sapiens	ILLUMINA	2015-07-20	SRP056477	brain
SAMN03444518	SRX966635	7132	4600	SRR1927033	SRS882156	GSM1642292	c9ALS	Cerebellum	RNA-Seq	202	PRJNA279249	GEO	public	0	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	2015-03-24	Homo sapiens	ILLUMINA	2015-07-20	SRP056477	brain
SAMN03444535	SRX966636	7030	4595	SRR1927034	SRS882155	GSM1642293	c9ALS	Frontal Cortex	RNA-Seq	202	PRJNA279249	GEO	public	0	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	2015-03-24	Homo sapiens	ILLUMINA	2015-07-20	SRP056477	brain
SAMN03444524	SRX966637	6681	4321	SRR1927035	SRS882154	GSM1642294	sALS	Cerebellum	RNA-Seq	202	PRJNA279249	GEO	public	0	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	2015-03-24	Homo sapiens	ILLUMINA	2015-07-20	SRP056477	brain
SAMN03444538	SRX966638	5369	3669	SRR1927036	SRS882153	GSM1642295	sALS	Frontal Cortex	RNA-Seq	202	PRJNA279249	GEO	public	0	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	2015-03-24	Homo sapiens	ILLUMINA	2015-07-20	SRP056477	brain
