AvgSpotLen_l	BioSample_s	Experiment_s	LoadDate_s	MBases_l	MBytes_l	Organism_s	Run_s	SRA_Sample_s	Sample_Name_s	cell_type_s	source_name_s	strain_s	Assay_Type_s	BioProject_s	Center_Name_s	Consent_s	InsertSize_l	Instrument_s	LibraryLayout_s	LibrarySelection_s	LibrarySource_s	Platform_s	ReleaseDate_s	SRA_Study_s	tissue_type_s
151	SAMN03366794	SRX886447	2015-02-23	322	157	Mus musculus	SRR1814072	SRS853392	GSM1617470	axonal compartment of cultured wild-type motoneurons	Primary mouse motoneuron culture	CD-1	RNA-Seq	PRJNA276148	GEO	public	0	Illumina MiSeq	SINGLE	cDNA	TRANSCRIPTOMIC	ILLUMINA	2015-10-13	SRP055447	
151	SAMN03366795	SRX886448	2015-02-23	459	224	Mus musculus	SRR1814073	SRS853394	GSM1617471	axonal compartment of cultured wild-type motoneurons	Primary mouse motoneuron culture	CD-1	RNA-Seq	PRJNA276148	GEO	public	0	Illumina MiSeq	SINGLE	cDNA	TRANSCRIPTOMIC	ILLUMINA	2015-10-13	SRP055447	
151	SAMN03366796	SRX886449	2015-02-23	149	72	Mus musculus	SRR1814074	SRS853393	GSM1617472	axonal compartment of cultured wild-type motoneurons	Primary mouse motoneuron culture	CD-1	RNA-Seq	PRJNA276148	GEO	public	0	Illumina MiSeq	SINGLE	cDNA	TRANSCRIPTOMIC	ILLUMINA	2015-10-13	SRP055447	
151	SAMN03366787	SRX886450	2015-02-23	363	178	Mus musculus	SRR1814075	SRS853396	GSM1617473	axonal compartment of cultured wild-type motoneurons	Primary mouse motoneuron culture	CD-1	RNA-Seq	PRJNA276148	GEO	public	0	Illumina MiSeq	SINGLE	cDNA	TRANSCRIPTOMIC	ILLUMINA	2015-10-13	SRP055447	
151	SAMN03366793	SRX886451	2015-02-23	227	113	Mus musculus	SRR1814076	SRS853390	GSM1617474	axonal compartment of cultured wild-type motoneurons	Primary mouse motoneuron culture	CD-1	RNA-Seq	PRJNA276148	GEO	public	0	Illumina MiSeq	SINGLE	cDNA	TRANSCRIPTOMIC	ILLUMINA	2015-10-13	SRP055447	
151	SAMN03366789	SRX886452	2015-02-23	147	71	Mus musculus	SRR1814077	SRS853389	GSM1617475	somatodendritic compartment of cultured wild-type motoneurons	Primary mouse motoneuron culture	CD-1	RNA-Seq	PRJNA276148	GEO	public	0	Illumina MiSeq	SINGLE	cDNA	TRANSCRIPTOMIC	ILLUMINA	2015-10-13	SRP055447	
151	SAMN03366792	SRX886453	2015-02-23	96	47	Mus musculus	SRR1814078	SRS853391	GSM1617476	somatodendritic compartment of cultured wild-type motoneurons	Primary mouse motoneuron culture	CD-1	RNA-Seq	PRJNA276148	GEO	public	0	Illumina MiSeq	SINGLE	cDNA	TRANSCRIPTOMIC	ILLUMINA	2015-10-13	SRP055447	
151	SAMN03366790	SRX886454	2015-02-23	120	59	Mus musculus	SRR1814079	SRS853388	GSM1617477	somatodendritic compartment of cultured wild-type motoneurons	Primary mouse motoneuron culture	CD-1	RNA-Seq	PRJNA276148	GEO	public	0	Illumina MiSeq	SINGLE	cDNA	TRANSCRIPTOMIC	ILLUMINA	2015-10-13	SRP055447	
151	SAMN03366791	SRX886455	2015-02-23	171	82	Mus musculus	SRR1814080	SRS853386	GSM1617478	somatodendritic compartment of cultured wild-type motoneurons	Primary mouse motoneuron culture	CD-1	RNA-Seq	PRJNA276148	GEO	public	0	Illumina MiSeq	SINGLE	cDNA	TRANSCRIPTOMIC	ILLUMINA	2015-10-13	SRP055447	
151	SAMN03366788	SRX886456	2015-02-23	129	62	Mus musculus	SRR1814081	SRS853385	GSM1617479	somatodendritic compartment of cultured wild-type motoneurons	Primary mouse motoneuron culture	CD-1	RNA-Seq	PRJNA276148	GEO	public	0	Illumina MiSeq	SINGLE	cDNA	TRANSCRIPTOMIC	ILLUMINA	2015-10-13	SRP055447	
