Assay_Type_s	AvgSpotLen_l	BioSample_s	Experiment_s	Instrument_s	LibraryLayout_s	LibrarySelection_s	LibrarySource_s	LoadDate_s	MBases_l	MBytes_l	Run_s	SRA_Sample_s	Sample_Name_s	genotype_s	source_name_s	variant_s	BioProject_s	Center_Name_s	Consent_s	InsertSize_l	Organism_s	Platform_s	ReleaseDate_s	SRA_Study_s	cell_type_s
RNA-Seq	202	SAMN03268752	SRX817371	Illumina HiSeq 1500	PAIRED	cDNA	TRANSCRIPTOMIC	2014-12-18	3222	2021	SRR1724179	SRS797573	GSM1568709		HEK293 Flip-In T-Rex cell line	DIS3wild type + shRNA	PRJNA270769	GEO	public	0	Homo sapiens	ILLUMINA	2015-08-20	SRP051331	
RNA-Seq	202	SAMN03268752	SRX817371	Illumina HiSeq 1500	PAIRED	cDNA	TRANSCRIPTOMIC	2014-12-18	7611	4929	SRR1724180	SRS797573	GSM1568709		HEK293 Flip-In T-Rex cell line	DIS3wild type + shRNA	PRJNA270769	GEO	public	0	Homo sapiens	ILLUMINA	2015-08-20	SRP051331	
RNA-Seq	202	SAMN03268752	SRX817371	Illumina HiSeq 1500	PAIRED	cDNA	TRANSCRIPTOMIC	2014-12-18	7652	4895	SRR1724181	SRS797573	GSM1568709		HEK293 Flip-In T-Rex cell line	DIS3wild type + shRNA	PRJNA270769	GEO	public	0	Homo sapiens	ILLUMINA	2015-08-20	SRP051331	
RNA-Seq	202	SAMN03268752	SRX817371	Illumina HiSeq 1500	PAIRED	cDNA	TRANSCRIPTOMIC	2014-12-18	7805	5004	SRR1724182	SRS797573	GSM1568709		HEK293 Flip-In T-Rex cell line	DIS3wild type + shRNA	PRJNA270769	GEO	public	0	Homo sapiens	ILLUMINA	2015-08-20	SRP051331	
RNA-Seq	202	SAMN03268752	SRX817371	Illumina HiSeq 1500	PAIRED	cDNA	TRANSCRIPTOMIC	2014-12-18	3458	2179	SRR1724183	SRS797573	GSM1568709		HEK293 Flip-In T-Rex cell line	DIS3wild type + shRNA	PRJNA270769	GEO	public	0	Homo sapiens	ILLUMINA	2015-08-20	SRP051331	
RNA-Seq	202	SAMN03268752	SRX817371	Illumina HiSeq 1500	PAIRED	cDNA	TRANSCRIPTOMIC	2014-12-18	3506	2198	SRR1724184	SRS797573	GSM1568709		HEK293 Flip-In T-Rex cell line	DIS3wild type + shRNA	PRJNA270769	GEO	public	0	Homo sapiens	ILLUMINA	2015-08-20	SRP051331	
RNA-Seq	202	SAMN03268752	SRX817371	Illumina HiSeq 1500	PAIRED	cDNA	TRANSCRIPTOMIC	2014-12-18	6770	4387	SRR1724185	SRS797573	GSM1568709		HEK293 Flip-In T-Rex cell line	DIS3wild type + shRNA	PRJNA270769	GEO	public	0	Homo sapiens	ILLUMINA	2015-08-20	SRP051331	
RNA-Seq	202	SAMN03268752	SRX817371	Illumina HiSeq 1500	PAIRED	cDNA	TRANSCRIPTOMIC	2014-12-18	6795	4350	SRR1724186	SRS797573	GSM1568709		HEK293 Flip-In T-Rex cell line	DIS3wild type + shRNA	PRJNA270769	GEO	public	0	Homo sapiens	ILLUMINA	2015-08-20	SRP051331	
RNA-Seq	202	SAMN03268752	SRX817371	Illumina HiSeq 1500	PAIRED	cDNA	TRANSCRIPTOMIC	2014-12-18	6924	4442	SRR1724187	SRS797573	GSM1568709		HEK293 Flip-In T-Rex cell line	DIS3wild type + shRNA	PRJNA270769	GEO	public	0	Homo sapiens	ILLUMINA	2015-08-20	SRP051331	
RNA-Seq	202	SAMN03268752	SRX817371	Illumina HiSeq 1500	PAIRED	cDNA	TRANSCRIPTOMIC	2014-12-18	7684	4986	SRR1724188	SRS797573	GSM1568709		HEK293 Flip-In T-Rex cell line	DIS3wild type + shRNA	PRJNA270769	GEO	public	0	Homo sapiens	ILLUMINA	2015-08-20	SRP051331	
