BioSample_s	Experiment_s	LoadDate_s	MBases_l	MBytes_l	Run_s	SRA_Sample_s	Sample_Name_s	treatment_s	Assay_Type_s	AvgSpotLen_l	BioProject_s	BioSampleModel_s	Center_Name_s	Consent_s	InsertSize_l	Instrument_s	LibraryLayout_s	LibrarySelection_s	LibrarySource_s	Organism_s	Platform_s	ReleaseDate_s	SRA_Study_s	age_s	biomaterial_provider_s	cell_type_s	health_state_s	isolate_s	karyotype_s	race_s	sample_type_s	sex_s	tissue_s
SAMN03486583	SRX996907	2015-04-15	6914	3147	SRR1976051	SRS911184	iCell Neurons_0h	at thaw	RNA-Seq	200	PRJNA277541	Human	UNIVERSITY OF ILLINOIS AT CHICAGO	public	0	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	2015-12-15	SRP056287	Under 18 yrs	Cellular Dynamics	cortical neurons	normal	RNA	normal	Caucasian	cortical neurons	female	fibroblast
SAMN03486583	SRX997088	2015-04-15	7064	3213	SRR1976052	SRS911184	iCell Neurons_0h	at thaw	RNA-Seq	200	PRJNA277541	Human	UNIVERSITY OF ILLINOIS AT CHICAGO	public	0	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	2015-12-15	SRP056287	Under 18 yrs	Cellular Dynamics	cortical neurons	normal	RNA	normal	Caucasian	cortical neurons	female	fibroblast
SAMN03486584	SRX997089	2015-04-15	7093	3243	SRR1976053	SRS911350	iCell Neurons_4h	plated for 4hrs	RNA-Seq	200	PRJNA277541	Human	UNIVERSITY OF ILLINOIS AT CHICAGO	public	0	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	2015-12-15	SRP056287	Under 18 yrs	Cellular Dynamics	cortical neurons	normal	RNA	normal	Caucasian	cortical neurons	female	fibroblast
SAMN03486584	SRX997090	2015-04-15	6242	2855	SRR1976054	SRS911350	iCell Neurons_4h	plated for 4hrs	RNA-Seq	200	PRJNA277541	Human	UNIVERSITY OF ILLINOIS AT CHICAGO	public	0	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	2015-12-15	SRP056287	Under 18 yrs	Cellular Dynamics	cortical neurons	normal	RNA	normal	Caucasian	cortical neurons	female	fibroblast
SAMN03486584	SRX997092	2015-04-15	6332	2890	SRR1976055	SRS911350	iCell Neurons_4h	plated for 4hrs	RNA-Seq	200	PRJNA277541	Human	UNIVERSITY OF ILLINOIS AT CHICAGO	public	0	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	2015-12-15	SRP056287	Under 18 yrs	Cellular Dynamics	cortical neurons	normal	RNA	normal	Caucasian	cortical neurons	female	fibroblast
SAMN03486585	SRX997093	2015-04-15	7659	3501	SRR1976072	SRS911351	iCell Neurons_28h	plated for 24hrs	RNA-Seq	200	PRJNA277541	Human	UNIVERSITY OF ILLINOIS AT CHICAGO	public	0	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	2015-12-15	SRP056287	Under 18 yrs	Cellular Dynamics	cortical neurons	normal	RNA	normal	Caucasian	cortical neurons	female	fibroblast
SAMN03486585	SRX997106	2015-04-15	7467	3405	SRR1976073	SRS911351	iCell Neurons_28h	plated for 24hrs	RNA-Seq	200	PRJNA277541	Human	UNIVERSITY OF ILLINOIS AT CHICAGO	public	0	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	2015-12-15	SRP056287	Under 18 yrs	Cellular Dynamics	cortical neurons	normal	RNA	normal	Caucasian	cortical neurons	female	fibroblast
SAMN03486586	SRX997108	2015-04-15	5003	2305	SRR1976078	SRS911364	iCell Neurons_76h	plated for 72hrs	RNA-Seq	200	PRJNA277541	Human	UNIVERSITY OF ILLINOIS AT CHICAGO	public	0	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	2015-12-15	SRP056287	Under 18 yrs	Cellular Dynamics	cortical neurons	normal	RNA	normal	Caucasian	cortical neurons	female	fibroblast
SAMN03486586	SRX997114	2015-04-15	6024	2752	SRR1976080	SRS911364	iCell Neurons_76h	plated for 72hrs	RNA-Seq	200	PRJNA277541	Human	UNIVERSITY OF ILLINOIS AT CHICAGO	public	0	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	2015-12-15	SRP056287	Under 18 yrs	Cellular Dynamics	cortical neurons	normal	RNA	normal	Caucasian	cortical neurons	female	fibroblast
SAMN03486585	SRX997107	2015-04-17	6235	2857	SRR1976089	SRS911351	iCell Neurons_28h	plated for 24hrs	RNA-Seq	200	PRJNA277541	Human	UNIVERSITY OF ILLINOIS AT CHICAGO	public	0	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	2015-12-15	SRP056287	Under 18 yrs	Cellular Dynamics	cortical neurons	normal	RNA	normal	Caucasian	cortical neurons	female	fibroblast
