BioSample_s	Experiment_s	MBases_l	MBytes_l	Run_s	SRA_Sample_s	Sample_Name_s	Assay_Type_s	AvgSpotLen_l	BioProject_s	Center_Name_s	Consent_s	InsertSize_l	Instrument_s	LibraryLayout_s	LibrarySelection_s	LibrarySource_s	LoadDate_s	Organism_s	Platform_s	ReleaseDate_s	SRA_Study_s	cell_type_s	source_name_s
SAMN04359416	SRX1494374	1006	511	SRR3038253	SRS1217219	GSM1977027	RNA-Seq	50	PRJNA306659	GEO	public	0	Illumina Genome Analyzer II	SINGLE	cDNA	TRANSCRIPTOMIC	2015-12-21	Homo sapiens	ILLUMINA	2016-02-01	SRP067645	Laser Capture microdissected MNs from post-mortem spinal cord	Human Lumbar spinal cord motor neurons
SAMN04359417	SRX1494375	1441	766	SRR3038254	SRS1217218	GSM1977028	RNA-Seq	50	PRJNA306659	GEO	public	0	Illumina Genome Analyzer II	SINGLE	cDNA	TRANSCRIPTOMIC	2015-12-21	Homo sapiens	ILLUMINA	2016-02-01	SRP067645	Laser Capture microdissected MNs from post-mortem spinal cord	Human Lumbar spinal cord motor neurons
SAMN04359418	SRX1494376	1066	531	SRR3038255	SRS1217217	GSM1977029	RNA-Seq	50	PRJNA306659	GEO	public	0	Illumina Genome Analyzer II	SINGLE	cDNA	TRANSCRIPTOMIC	2015-12-21	Homo sapiens	ILLUMINA	2016-02-01	SRP067645	Laser Capture microdissected MNs from post-mortem spinal cord	Human Lumbar spinal cord motor neurons
SAMN04359419	SRX1494377	1687	1019	SRR3038256	SRS1217216	GSM1977030	RNA-Seq	50	PRJNA306659	GEO	public	0	Illumina Genome Analyzer II	SINGLE	cDNA	TRANSCRIPTOMIC	2015-12-21	Homo sapiens	ILLUMINA	2016-02-01	SRP067645	Laser Capture microdissected MNs from post-mortem spinal cord	Human Lumbar spinal cord motor neurons
SAMN04359420	SRX1494378	1702	1028	SRR3038257	SRS1217215	GSM1977031	RNA-Seq	50	PRJNA306659	GEO	public	0	Illumina Genome Analyzer II	SINGLE	cDNA	TRANSCRIPTOMIC	2015-12-21	Homo sapiens	ILLUMINA	2016-02-01	SRP067645	Laser Capture microdissected MNs from post-mortem spinal cord	Human Lumbar spinal cord motor neurons
SAMN04359421	SRX1494379	1720	1082	SRR3038258	SRS1217214	GSM1977032	RNA-Seq	50	PRJNA306659	GEO	public	0	Illumina Genome Analyzer II	SINGLE	cDNA	TRANSCRIPTOMIC	2015-12-21	Homo sapiens	ILLUMINA	2016-02-01	SRP067645	Laser Capture microdissected MNs from post-mortem spinal cord	Human Lumbar spinal cord motor neurons
SAMN04359422	SRX1494380	1459	861	SRR3038259	SRS1217213	GSM1977033	RNA-Seq	50	PRJNA306659	GEO	public	0	Illumina Genome Analyzer II	SINGLE	cDNA	TRANSCRIPTOMIC	2015-12-21	Homo sapiens	ILLUMINA	2016-02-01	SRP067645	Laser Capture microdissected MNs from post-mortem spinal cord	Human Lumbar spinal cord motor neurons
SAMN04359423	SRX1494381	1066	531	SRR3038260	SRS1217212	GSM1977034	RNA-Seq	50	PRJNA306659	GEO	public	0	Illumina Genome Analyzer II	SINGLE	cDNA	TRANSCRIPTOMIC	2015-12-21	Homo sapiens	ILLUMINA	2016-02-01	SRP067645	Laser Capture microdissected MNs from post-mortem spinal cord	Human Lumbar spinal cord motor neurons
SAMN04359424	SRX1494382	1454	777	SRR3038261	SRS1217211	GSM1977035	RNA-Seq	50	PRJNA306659	GEO	public	0	Illumina Genome Analyzer II	SINGLE	cDNA	TRANSCRIPTOMIC	2015-12-21	Homo sapiens	ILLUMINA	2016-02-01	SRP067645	Laser Capture microdissected MNs from post-mortem spinal cord	Human Lumbar spinal cord motor neurons
SAMN04359425	SRX1494383	1523	828	SRR3038262	SRS1217210	GSM1977036	RNA-Seq	50	PRJNA306659	GEO	public	0	Illumina Genome Analyzer II	SINGLE	cDNA	TRANSCRIPTOMIC	2015-12-21	Homo sapiens	ILLUMINA	2016-02-01	SRP067645	Laser Capture microdissected MNs from post-mortem spinal cord	Human Lumbar spinal cord motor neurons
SAMN04359426	SRX1494384	1413	751	SRR3038263	SRS1217209	GSM1977037	RNA-Seq	50	PRJNA306659	GEO	public	0	Illumina Genome Analyzer II	SINGLE	cDNA	TRANSCRIPTOMIC	2015-12-21	Homo sapiens	ILLUMINA	2016-02-01	SRP067645	Laser Capture microdissected MNs from post-mortem spinal cord	Human Lumbar spinal cord motor neurons
