Assay_Type_s,Organism_s,Brain Bank,Sex,sex_s,Age,age_s,Age Units,Development,Race,Sample Origin,tissue_s,Cell Line,cell_line_s,Tissue Site 1,Tissue Site 2,Tissue Site 3,Brodmann Area,Hemisphere,Disease Status,Disease,Tumor Type,Clinical Stage 1,Clinical Stage 2,Pathology,Viability,Preparation,PMI,PMI Units,RIN,Sequencing Kit,,BioSampleModel_s,Sample_Name_s,BioSample_s,Experiment_s,Library_Name_s,LoadDate_s,MBases_l,MBytes_l,Run_s,SRA_Sample_s,biomaterial_provider_s,isolate_s,AvgSpotLen_l,BioProject_s,Consent_s,InsertSize_l,Instrument_s,LibraryLayout_s,LibrarySelection_s,LibrarySource_s,Platform_s,ReleaseDate_s,SRA_Study_s
RNA-Seq,Homo sapiens,,,pooled male and female,,NA,,,,Brain,Pooled tumor,,,,,,,,Disease,Tumor,,,,,,,,,,,,Human,MAQC A,SAMN04254552,SRX1426160,Sample A,2015-11-10,8842,2936,SRR2912443,SRS1158388,Agilent,Agilent Universal Human Reference RNA,150,PRJNA301711,public,0,NextSeq 500,PAIRED,other,TRANSCRIPTOMIC,ILLUMINA,2016-01-29,SRP066009
RNA-Seq,Homo sapiens,,,pooled male and female,,NA,,,,Brain,Pooled tumor,,,,,,,,Disease,Tumor,,,,,,,,,,,,Human,MAQC A,SAMN04254552,SRX1426160,Sample A,2015-11-10,8254,2665,SRR2912444,SRS1158388,Agilent,Agilent Universal Human Reference RNA,150,PRJNA301711,public,0,NextSeq 500,PAIRED,other,TRANSCRIPTOMIC,ILLUMINA,2016-01-29,SRP066009
RNA-Seq,Homo sapiens,,,pooled male and female,,NA,,,,Brain,Pooled tumor,,,,,,,,Disease,Tumor,,,,,,,,,,,,Human,MAQC A,SAMN04254552,SRX1426160,Sample A,2015-11-11,9491,3233,SRR2912446,SRS1158388,Agilent,Agilent Universal Human Reference RNA,150,PRJNA301711,public,0,NextSeq 500,PAIRED,other,TRANSCRIPTOMIC,ILLUMINA,2016-01-29,SRP066009
RNA-Seq,Homo sapiens,,,not determined,,NA,,,,Brain,Brain,,Human Brain Reference Total RNA,,,,,,Control,,,,,,,,,,,,,Human,MAQC B,SAMN04254553,SRX1426193,Sample B,2015-11-10,12655,4271,SRR2912479,SRS1158423,Life Technology,Human Brain Reference Total RNA,150,PRJNA301711,public,0,NextSeq 500,PAIRED,other,TRANSCRIPTOMIC,ILLUMINA,2016-01-29,SRP066009
RNA-Seq,Homo sapiens,,,not determined,,NA,,,,Brain,Brain,,Human Brain Reference Total RNA,,,,,,Control,,,,,,,,,,,,,Human,MAQC B,SAMN04254553,SRX1426193,Sample B,2015-11-17,7387,2402,SRR2912481,SRS1158423,Life Technology,Human Brain Reference Total RNA,150,PRJNA301711,public,0,NextSeq 500,PAIRED,other,TRANSCRIPTOMIC,ILLUMINA,2016-01-29,SRP066009
RNA-Seq,Homo sapiens,,,not determined,,NA,,,,Brain,Brain,,Human Brain Reference Total RNA,,,,,,Control,,,,,,,,,,,,,Human,MAQC B,SAMN04254553,SRX1426193,Sample B,2015-11-10,7650,2629,SRR2912483,SRS1158423,Life Technology,Human Brain Reference Total RNA,150,PRJNA301711,public,0,NextSeq 500,PAIRED,other,TRANSCRIPTOMIC,ILLUMINA,2016-01-29,SRP066009
RNA-Seq,Homo sapiens,,,not determined,,NA,,,,Brain,Pooled Tumor,,,,,,,,Disease,Tumor,,,,,,,,,,,,Human,MAQC C,SAMN04254554,SRX1426194,Sample C,2015-11-10,9002,2985,SRR2912487,SRS1158424,Agilent and Life Technology,Universal Human Reference RNA with Human Brain Reference Total RNA,150,PRJNA301711,public,0,NextSeq 500,PAIRED,other,TRANSCRIPTOMIC,ILLUMINA,2016-01-29,SRP066009
RNA-Seq,Homo sapiens,,,not determined,,NA,,,,Brain,Pooled Tumor,,,,,,,,Disease,Tumor,,,,,,,,,,,,Human,MAQC C,SAMN04254554,SRX1426194,Sample C,2015-11-17,6949,2244,SRR2912489,SRS1158424,Agilent and Life Technology,Universal Human Reference RNA with Human Brain Reference Total RNA,150,PRJNA301711,public,0,NextSeq 500,PAIRED,other,TRANSCRIPTOMIC,ILLUMINA,2016-01-29,SRP066009
RNA-Seq,Homo sapiens,,,not determined,,NA,,,,Brain,Pooled Tumor,,,,,,,,Disease,Tumor,,,,,,,,,,,,Human,MAQC C,SAMN04254554,SRX1426194,Sample C,2015-11-10,11244,3797,SRR2912490,SRS1158424,Agilent and Life Technology,Universal Human Reference RNA with Human Brain Reference Total RNA,150,PRJNA301711,public,0,NextSeq 500,PAIRED,other,TRANSCRIPTOMIC,ILLUMINA,2016-01-29,SRP066009
RNA-Seq,Homo sapiens,,,not determined,,NA,,,,Brain,Pooled Tumor,,,,,,,,Disease,Tumor,,,,,,,,,,,,Human,MAQC D,SAMN04254556,SRX1426197,Sample D,2015-11-10,10032,3354,SRR2912491,SRS1158425,Agilent and Life Technology,Universal Human Reference RNA with Human Brain Reference Total RNA,150,PRJNA301711,public,0,NextSeq 500,PAIRED,other,TRANSCRIPTOMIC,ILLUMINA,2016-01-29,SRP066009
