Assay_Type_s,Organism_s,Brain Bank,Sex,Age,Age Units,Development,Race,Sample Origin,Cell Line,,Tissue Site 1,cell_type_s,Tissue Site 2,Tissue Site 3,Brodmann Area,Hemisphere,Disease Status,,Disease,Tumor Type,Clinical Stage 1,lithium_treated_s,Clinical Stage 2,Pathology,Viability,Preparation,PMI,PMI Units,RIN,Sequencing Kit,,AvgSpotLen_l,BioSample_s,Experiment_s,LibraryLayout_s,LoadDate_s,MBases_l,MBytes_l,Run_s,SRA_Sample_s,Sample_Name_s,BioProject_s,Center_Name_s,Consent_s,InsertSize_l,Instrument_s,LibrarySelection_s,LibrarySource_s,Platform_s,ReleaseDate_s,SRA_Study_s
RNA-Seq,Homo sapiens,,,,,,,iPSC,iPSC-derived hippocampal dentate gyrus granule neurons,,,Hippocampal dentate gyrus (DG) granule neurons,,,,,Control,,,,No lithium treatment,no,,,,,,,,,,182,SAMN02898135,SRX641451,PAIRED,2014-06-30,8478,3623,SRR1501367,SRS650398,GSM1422445,PRJNA253946,GEO,public,0,Illumina HiSeq 2500,cDNA,TRANSCRIPTOMIC,ILLUMINA,2015-10-30,SRP043684
RNA-Seq,Homo sapiens,,,,,,,iPSC,iPSC-derived hippocampal dentate gyrus granule neurons,,,Hippocampal dentate gyrus (DG) granule neurons,,,,,Control,,,,No lithium treatment,no,,,,,,,,,,182,SAMN02898136,SRX641452,PAIRED,2014-06-30,8837,3765,SRR1501368,SRS650399,GSM1422446,PRJNA253946,GEO,public,0,Illumina HiSeq 2500,cDNA,TRANSCRIPTOMIC,ILLUMINA,2015-10-30,SRP043684
RNA-Seq,Homo sapiens,,,,,,,iPSC,iPSC-derived hippocampal dentate gyrus granule neurons,,,Hippocampal dentate gyrus (DG) granule neurons,,,,,Control,,,,No lithium treatment,no,,,,,,,,,,182,SAMN02898139,SRX641453,PAIRED,2014-06-30,8267,3519,SRR1501369,SRS650400,GSM1422447,PRJNA253946,GEO,public,0,Illumina HiSeq 2500,cDNA,TRANSCRIPTOMIC,ILLUMINA,2015-10-30,SRP043684
RNA-Seq,Homo sapiens,,,,,,,iPSC,iPSC-derived hippocampal dentate gyrus granule neurons,,,Hippocampal dentate gyrus (DG) granule neurons,,,,,Control,,,,No lithium treatment,no,,,,,,,,,,182,SAMN02898143,SRX641454,PAIRED,2014-06-30,8601,3621,SRR1501370,SRS650401,GSM1422448,PRJNA253946,GEO,public,0,Illumina HiSeq 2500,cDNA,TRANSCRIPTOMIC,ILLUMINA,2015-10-30,SRP043684
RNA-Seq,Homo sapiens,,,,,,,iPSC,iPSC-derived hippocampal dentate gyrus granule neurons,,,Hippocampal dentate gyrus (DG) granule neurons,,,,,Disease,,Bipolar disorder,,No lithium treatment,no,,,,,,,,,,182,SAMN02898138,SRX641455,PAIRED,2014-06-30,7493,3168,SRR1501371,SRS650402,GSM1422449,PRJNA253946,GEO,public,0,Illumina HiSeq 2500,cDNA,TRANSCRIPTOMIC,ILLUMINA,2015-10-30,SRP043684
RNA-Seq,Homo sapiens,,,,,,,iPSC,iPSC-derived hippocampal dentate gyrus granule neurons,,,Hippocampal dentate gyrus (DG) granule neurons,,,,,Disease,,Bipolar disorder,,No lithium treatment,no,,,,,,,,,,182,SAMN02898134,SRX641456,PAIRED,2014-06-30,7449,3132,SRR1501372,SRS650403,GSM1422450,PRJNA253946,GEO,public,0,Illumina HiSeq 2500,cDNA,TRANSCRIPTOMIC,ILLUMINA,2015-10-30,SRP043684
RNA-Seq,Homo sapiens,,,,,,,iPSC,iPSC-derived hippocampal dentate gyrus granule neurons,,,Hippocampal dentate gyrus (DG) granule neurons,,,,,Disease,,Bipolar disorder,,No lithium treatment,no,,,,,,,,,,182,SAMN02898142,SRX641457,PAIRED,2014-06-30,7307,3078,SRR1501373,SRS650404,GSM1422451,PRJNA253946,GEO,public,0,Illumina HiSeq 2500,cDNA,TRANSCRIPTOMIC,ILLUMINA,2015-10-30,SRP043684
RNA-Seq,Homo sapiens,,,,,,,iPSC,iPSC-derived hippocampal dentate gyrus granule neurons,,,Hippocampal dentate gyrus (DG) granule neurons,,,,,Disease,,Bipolar disorder,,No lithium treatment,no,,,,,,,,,,182,SAMN02898137,SRX641458,PAIRED,2014-06-30,6440,2719,SRR1501374,SRS650405,GSM1422452,PRJNA253946,GEO,public,0,Illumina HiSeq 2500,cDNA,TRANSCRIPTOMIC,ILLUMINA,2015-10-30,SRP043684
RNA-Seq,Homo sapiens,,,,,,,iPSC,iPSC-derived hippocampal dentate gyrus granule neurons,,,Hippocampal dentate gyrus (DG) granule neurons,,,,,Disease,,Bipolar disorder,,No lithium treatment,no,,,,,,,,,,182,SAMN02898140,SRX641459,PAIRED,2014-06-30,8441,3600,SRR1501375,SRS650406,GSM1422453,PRJNA253946,GEO,public,0,Illumina HiSeq 2500,cDNA,TRANSCRIPTOMIC,ILLUMINA,2015-10-30,SRP043684
RNA-Seq,Homo sapiens,,,,,,,iPSC,iPSC-derived hippocampal dentate gyrus granule neurons,,,Hippocampal dentate gyrus (DG) granule neurons,,,,,Disease,,Bipolar disorder,,No lithium treatment,no,,,,,,,,,,182,SAMN02898147,SRX641460,PAIRED,2014-06-30,6796,2888,SRR1501376,SRS650407,GSM1422454,PRJNA253946,GEO,public,0,Illumina HiSeq 2500,cDNA,TRANSCRIPTOMIC,ILLUMINA,2015-10-30,SRP043684
