Assay_Type_s,Organism_s,Brain Bank,Sex,Age,Age Units,Development,Race,Sample Origin,source_name_s,Cell Line,Tissue Site 1,Tissue Site 2,Tissue Site 3,Brodmann Area,Hemisphere,Disease Status,tissue_type_s,Disease,Tumor Type,Clinical Stage 1,Clinical Stage 2,Pathology,Viability,Preparation,PMI,PMI Units,RIN,Sequencing Kit,,BioSample_s,Experiment_s,LoadDate_s,MBases_l,MBytes_l,ReleaseDate_s,Run_s,SRA_Sample_s,Sample_Name_s,AvgSpotLen_l,BioProject_s,Center_Name_s,Consent_s,InsertSize_l,Instrument_s,LibraryLayout_s,LibrarySelection_s,LibrarySource_s,Platform_s,SRA_Study_s
RNA-Seq,Homo sapiens,,,,,,,Brain,glioma tissue - non-enhancing FLAIR+ sample,,,,,,,Disease,glioma - non-enhancing FLAIR+ sample,Tumor,Glioblastoma,Grade IV,,,,,,,,,,SAMN02928489,SRX657979,2014-07-21,3641,2574,2014-07-31,SRR1521352,SRS663138,GSM1440412,101,PRJNA255754,GEO,public,0,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,ILLUMINA,SRP044668
RNA-Seq,Homo sapiens,,,,,,,Brain,glioma tissue - non-enhancing FLAIR+ sample,,,,,,,Disease,glioma - non-enhancing FLAIR+ sample,Tumor,Glioblastoma,Grade IV,,,,,,,,,,SAMN02928490,SRX657980,2014-07-21,2456,1678,2014-07-31,SRR1521353,SRS663139,GSM1440413,101,PRJNA255754,GEO,public,0,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,ILLUMINA,SRP044668
RNA-Seq,Homo sapiens,,,,,,,Brain,glioma tissue - non-enhancing FLAIR+ sample,,,,,,,Disease,glioma - non-enhancing FLAIR+ sample,Tumor,Glioblastoma,Grade IV,,,,,,,,,,SAMN02928491,SRX657981,2014-07-21,2762,1877,2014-07-31,SRR1521354,SRS663140,GSM1440414,101,PRJNA255754,GEO,public,0,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,ILLUMINA,SRP044668
RNA-Seq,Homo sapiens,,,,,,,Brain,glioma tissue - non-enhancing FLAIR+ sample,,,,,,,Disease,glioma - non-enhancing FLAIR+ sample,Tumor,Glioblastoma,Grade IV,,,,,,,,,,SAMN02928492,SRX657982,2014-07-21,3305,2244,2014-07-31,SRR1521355,SRS663141,GSM1440415,101,PRJNA255754,GEO,public,0,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,ILLUMINA,SRP044668
RNA-Seq,Homo sapiens,,,,,,,Brain,glioma tissue - non-enhancing FLAIR+ sample,,,,,,,Disease,glioma - non-enhancing FLAIR+ sample,Tumor,Glioblastoma,Grade IV,,,,,,,,,,SAMN02928493,SRX657983,2014-07-21,3098,2104,2014-07-31,SRR1521356,SRS663142,GSM1440416,101,PRJNA255754,GEO,public,0,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,ILLUMINA,SRP044668
RNA-Seq,Homo sapiens,,,,,,,Brain,glioma tissue - non-enhancing FLAIR+ sample,,,,,,,Disease,glioma - non-enhancing FLAIR+ sample,Tumor,Glioblastoma,Grade IV,,,,,,,,,,SAMN02928494,SRX657984,2014-07-21,2999,2077,2014-07-31,SRR1521357,SRS663143,GSM1440417,101,PRJNA255754,GEO,public,0,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,ILLUMINA,SRP044668
RNA-Seq,Homo sapiens,,,,,,,Brain,glioma tissue - non-enhancing FLAIR+ sample,,,,,,,Disease,glioma - non-enhancing FLAIR+ sample,Tumor,Glioblastoma,Grade IV,,,,,,,,,,SAMN02928495,SRX657985,2014-07-21,3000,2098,2014-07-31,SRR1521358,SRS663144,GSM1440418,101,PRJNA255754,GEO,public,0,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,ILLUMINA,SRP044668
RNA-Seq,Homo sapiens,,,,,,,Brain,glioma tissue - non-enhancing FLAIR+ sample,,,,,,,Disease,glioma - non-enhancing FLAIR+ sample,Tumor,Glioblastoma,Grade IV,,,,,,,,,,SAMN02928496,SRX657986,2014-07-21,2833,1969,2014-07-31,SRR1521359,SRS663145,GSM1440419,101,PRJNA255754,GEO,public,0,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,ILLUMINA,SRP044668
RNA-Seq,Homo sapiens,,,,,,,Brain,glioma tissue - non-enhancing FLAIR+ sample,,,,,,,Disease,glioma - non-enhancing FLAIR+ sample,Tumor,Glioblastoma,Grade IV,,,,,,,,,,SAMN02928497,SRX657987,2014-07-21,2180,1473,2014-07-31,SRR1521360,SRS663146,GSM1440420,101,PRJNA255754,GEO,public,0,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,ILLUMINA,SRP044668
RNA-Seq,Homo sapiens,,,,,,,Brain,glioma tissue - non-enhancing FLAIR+ sample,,,,,,,Disease,glioma - non-enhancing FLAIR+ sample,Tumor,Glioblastoma,Grade IV,,,,,,,,,,SAMN02928498,SRX657988,2014-07-21,3618,2443,2014-07-31,SRR1521361,SRS663147,GSM1440421,101,PRJNA255754,GEO,public,0,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,ILLUMINA,SRP044668
RNA-Seq,Homo sapiens,,,,,,,Brain,glioma tissue - non-enhancing FLAIR+ sample,,,,,,,Disease,glioma - non-enhancing FLAIR+ sample,Tumor,Glioblastoma,Grade IV,,,,,,,,,,SAMN02928499,SRX657989,2015-12-02,2001,1433,2015-07-22,SRR1521362,SRS663148,GSM1440422,101,PRJNA255754,GEO,public,0,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,ILLUMINA,SRP044668
RNA-Seq,Homo sapiens,,,,,,,Brain,glioma tissue - non-enhancing FLAIR+ sample,,,,,,,Disease,glioma - non-enhancing FLAIR+ sample,Tumor,Glioblastoma,Grade IV,,,,,,,,,,SAMN02928500,SRX657990,2015-12-02,2363,1690,2015-07-22,SRR1521363,SRS663149,GSM1440423,101,PRJNA255754,GEO,public,0,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,ILLUMINA,SRP044668
RNA-Seq,Homo sapiens,,,,,,,Brain,glioma tissue - non-enhancing FLAIR+ sample,,,,,,,Disease,glioma - non-enhancing FLAIR+ sample,Tumor,Glioblastoma,Grade IV,,,,,,,,,,SAMN02928501,SRX657991,2015-12-02,2084,1504,2015-07-22,SRR1521364,SRS663150,GSM1440424,101,PRJNA255754,GEO,public,0,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,ILLUMINA,SRP044668
