Assay_Type_s,Organism_s,Brain Bank,Sex,Age,Age Units,Development,Race,Sample Origin,,Cell Line,Tissue Site 1,Tissue Site 2,Tissue Site 3,Brodmann Area,Hemisphere,Disease Status,Disease,Pathology_s,Tumor Type,Clinical Stage 1,Clinical Stage 2,Pathology,Pathology_Occurrence_s,Viability,Preparation,PMI,PMI Units,RIN,Sequencing Kit,,Sample_ID_s,BioSample_s,Experiment_s,Library_Name_s,MBases_l,MBytes_l,Run_s,SRA_Sample_s,Sample_Name_s,AvgSpotLen_l,Center_Name_s,Consent_s,InsertSize_l,Instrument_s,LibraryLayout_s,LibrarySelection_s,LibrarySource_s,LoadDate_s,Platform_s,ReleaseDate_s,SRA_Study_s
RNA-Seq,Homo sapiens,,,,,,,Brain tumor initiating cells,,BT-75,,,,,,Disease,Tumor,Brain glioblastoma multiforme,Glioblastoma,Grade IV,Primary,,,,,,,,,,GBM_103,SAMN03580074,SRX1014922,A29440,24479,16052,SRR2003923,SRS926536,GBM_103,150,BCCAGSC,public,0,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,2015-04-30,ILLUMINA,2015-05-05,SRP057855
RNA-Seq,Homo sapiens,,,,,,,Brain tumor initiating cells,,BT-89,,,,,,Disease,Tumor,Brain glioblastoma multiforme,Glioblastoma,Grade IV,Primary,,,,,,,,,,GBM_112,SAMN03580080,SRX1014929,A29449,21961,15377,SRR2003926,SRS926542,GBM_112,150,BCCAGSC,public,0,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,2015-04-30,ILLUMINA,2015-05-05,SRP057855
RNA-Seq,Homo sapiens,,,,,,,Brain tumor initiating cells,,BT-53,,,,,,Disease,Tumor,Brain glioblastoma multiforme,Glioblastoma,Grade IV,Primary,,,,,,,,,,GBM_64,SAMN03580084,SRX1014923,A29401,16661,11563,SRR2003931,SRS926546,GBM_64,150,BCCAGSC,public,0,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,2015-04-30,ILLUMINA,2015-05-05,SRP057855
RNA-Seq,Homo sapiens,,,,,,,Brain tumor initiating cells,,BT-127,,,,,,Disease,Tumor,Brain glioblastoma multiforme,Glioblastoma,Grade IV,Primary,,,,,,,,,,GBM_58,SAMN03580083,SRX1014928,A29395,14609,10239,SRR2003933,SRS926545,GBM_58,150,BCCAGSC,public,0,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,2015-04-30,ILLUMINA,2015-05-05,SRP057855
RNA-Seq,Homo sapiens,,,,,,,Brain tumor initiating cells,,BT-67,,,,,,Disease,Tumor,Brain glioblastoma multiforme,Glioblastoma,Grade IV,Primary,,,,,,,,,,GBM_71,SAMN03580079,SRX1014927,A29408,13832,9430,SRR2003934,SRS926541,GBM_71,150,BCCAGSC,public,0,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,2015-04-30,ILLUMINA,2015-05-05,SRP057855
RNA-Seq,Homo sapiens,,,,,,,Brain tumor initiating cells,,BT-143,,,,,,Disease,Tumor,Brain glioblastoma multiforme,Glioblastoma,Grade IV,Recurrent,,,,,,,,,,GBM_95,SAMN03580073,SRX1014925,A29432,20928,13674,SRR2003932,SRS926535,GBM_95,150,BCCAGSC,public,0,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,2015-04-30,ILLUMINA,2015-05-05,SRP057855
RNA-Seq,Homo sapiens,,,,,,,Brain tumor initiating cells,,BT-147,,,,,,Disease,Tumor,Brain glioblastoma multiforme,Glioblastoma,Grade IV,Recurrent,,,,,,,,,,GBM_67,SAMN03580078,SRX1014926,A29404,19929,13432,SRR2003935,SRS926540,GBM_67,150,BCCAGSC,public,0,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,2015-04-30,ILLUMINA,2015-05-05,SRP057855
RNA-Seq,Homo sapiens,,,,,,,Brain tumor initiating cells,,BT-73,,,,,,Disease,Tumor,Brain glioblastoma multiforme,Glioblastoma,Grade IV,,,,,,,,,,,GBM_107,SAMN03580082,SRX1014934,A29444,14423,9804,SRR2003924,SRS926544,GBM_107,150,BCCAGSC,public,0,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,2015-04-30,ILLUMINA,2015-05-05,SRP057855
RNA-Seq,Homo sapiens,,,,,,,Brain tumor initiating cells,,BT-50,,,,,,Disease,Tumor,Brain glioblastoma multiforme,Glioblastoma,Grade IV,,,,,,,,,,,GBM_100,SAMN03580076,SRX1014930,A29437,32156,21895,SRR2003925,SRS926538,GBM_100,150,BCCAGSC,public,0,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,2015-04-30,ILLUMINA,2015-05-05,SRP057855
RNA-Seq,Homo sapiens,,,,,,,Brain tumor initiating cells,,BT-206,,,,,,Disease,Tumor,Brain glioblastoma multiforme,Glioblastoma,Grade IV,,,,,,,,,,,GBM_101,SAMN03580081,SRX1014931,A29438,18210,11925,SRR2003927,SRS926543,GBM_101,150,BCCAGSC,public,0,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,2015-04-30,ILLUMINA,2015-05-05,SRP057855
