Assay_Type_s,Organism_s,Brain Bank,,Sex,Age,age_s,Age Units,Development,Race,race_s,Sample Origin,tissue_s,cell_type_s,Sample_Name_s,Cell Line,Tissue Site 1,sample_type_s,Tissue Site 2,Tissue Site 3,Brodmann Area,Hemisphere,Disease Status,karyotype_s,health_state_s,Disease,Tumor Type,Clinical Stage 1,Clinical Stage 2,Pathology,Viability,Preparation,treatment_s,PMI,PMI Units,RIN,Sequencing Kit,,isolate_s,BioSampleModel_s,BioSample_s,Experiment_s,LoadDate_s,MBases_l,MBytes_l,Run_s,SRA_Sample_s,AvgSpotLen_l,BioProject_s,Center_Name_s,Consent_s,InsertSize_l,Instrument_s,LibraryLayout_s,LibrarySelection_s,LibrarySource_s,Platform_s,ReleaseDate_s,SRA_Study_s,biomaterial_provider_s
RNA-Seq,Homo sapiens,,,female,,Under 18 yrs,,,,White,iPSC,fibroblast,cortical neurons,iCell Neurons_0h,iPSC-derived cortical neurons,,cortical neurons,,,,,Control,normal,normal,,,,,,,,at thaw,,,,,,RNA,Human,SAMN03486583,SRX996907,2015-04-15,6914,3147,SRR1976051,SRS911184,200,PRJNA277541,UNIVERSITY OF ILLINOIS AT CHICAGO,public,0,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,ILLUMINA,2015-12-15,SRP056287,Cellular Dynamics
RNA-Seq,Homo sapiens,,,female,,Under 18 yrs,,,,White,iPSC,fibroblast,cortical neurons,iCell Neurons_0h,iPSC-derived cortical neurons,,cortical neurons,,,,,Control,normal,normal,,,,,,,,at thaw,,,,,,RNA,Human,SAMN03486583,SRX997088,2015-04-15,7064,3213,SRR1976052,SRS911184,200,PRJNA277541,UNIVERSITY OF ILLINOIS AT CHICAGO,public,0,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,ILLUMINA,2015-12-15,SRP056287,Cellular Dynamics
RNA-Seq,Homo sapiens,,,female,,Under 18 yrs,,,,White,iPSC,fibroblast,cortical neurons,iCell Neurons_4h,iPSC-derived cortical neurons,,cortical neurons,,,,,Control,normal,normal,,,,,,,,plated for 4hrs,,,,,,RNA,Human,SAMN03486584,SRX997089,2015-04-15,7093,3243,SRR1976053,SRS911350,200,PRJNA277541,UNIVERSITY OF ILLINOIS AT CHICAGO,public,0,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,ILLUMINA,2015-12-15,SRP056287,Cellular Dynamics
RNA-Seq,Homo sapiens,,,female,,Under 18 yrs,,,,White,iPSC,fibroblast,cortical neurons,iCell Neurons_4h,iPSC-derived cortical neurons,,cortical neurons,,,,,Control,normal,normal,,,,,,,,plated for 4hrs,,,,,,RNA,Human,SAMN03486584,SRX997090,2015-04-15,6242,2855,SRR1976054,SRS911350,200,PRJNA277541,UNIVERSITY OF ILLINOIS AT CHICAGO,public,0,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,ILLUMINA,2015-12-15,SRP056287,Cellular Dynamics
RNA-Seq,Homo sapiens,,,female,,Under 18 yrs,,,,White,iPSC,fibroblast,cortical neurons,iCell Neurons_4h,iPSC-derived cortical neurons,,cortical neurons,,,,,Control,normal,normal,,,,,,,,plated for 4hrs,,,,,,RNA,Human,SAMN03486584,SRX997092,2015-04-15,6332,2890,SRR1976055,SRS911350,200,PRJNA277541,UNIVERSITY OF ILLINOIS AT CHICAGO,public,0,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,ILLUMINA,2015-12-15,SRP056287,Cellular Dynamics
RNA-Seq,Homo sapiens,,,female,,Under 18 yrs,,,,White,iPSC,fibroblast,cortical neurons,iCell Neurons_28h,iPSC-derived cortical neurons,,cortical neurons,,,,,Control,normal,normal,,,,,,,,plated for 24hrs,,,,,,RNA,Human,SAMN03486585,SRX997093,2015-04-15,7659,3501,SRR1976072,SRS911351,200,PRJNA277541,UNIVERSITY OF ILLINOIS AT CHICAGO,public,0,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,ILLUMINA,2015-12-15,SRP056287,Cellular Dynamics
RNA-Seq,Homo sapiens,,,female,,Under 18 yrs,,,,White,iPSC,fibroblast,cortical neurons,iCell Neurons_28h,iPSC-derived cortical neurons,,cortical neurons,,,,,Control,normal,normal,,,,,,,,plated for 24hrs,,,,,,RNA,Human,SAMN03486585,SRX997106,2015-04-15,7467,3405,SRR1976073,SRS911351,200,PRJNA277541,UNIVERSITY OF ILLINOIS AT CHICAGO,public,0,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,ILLUMINA,2015-12-15,SRP056287,Cellular Dynamics
RNA-Seq,Homo sapiens,,,female,,Under 18 yrs,,,,White,iPSC,fibroblast,cortical neurons,iCell Neurons_76h,iPSC-derived cortical neurons,,cortical neurons,,,,,Control,normal,normal,,,,,,,,plated for 72hrs,,,,,,RNA,Human,SAMN03486586,SRX997108,2015-04-15,5003,2305,SRR1976078,SRS911364,200,PRJNA277541,UNIVERSITY OF ILLINOIS AT CHICAGO,public,0,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,ILLUMINA,2015-12-15,SRP056287,Cellular Dynamics
RNA-Seq,Homo sapiens,,,female,,Under 18 yrs,,,,White,iPSC,fibroblast,cortical neurons,iCell Neurons_76h,iPSC-derived cortical neurons,,cortical neurons,,,,,Control,normal,normal,,,,,,,,plated for 72hrs,,,,,,RNA,Human,SAMN03486586,SRX997114,2015-04-15,6024,2752,SRR1976080,SRS911364,200,PRJNA277541,UNIVERSITY OF ILLINOIS AT CHICAGO,public,0,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,ILLUMINA,2015-12-15,SRP056287,Cellular Dynamics
RNA-Seq,Homo sapiens,,,female,,Under 18 yrs,,,,White,iPSC,fibroblast,cortical neurons,iCell Neurons_28h,iPSC-derived cortical neurons,,cortical neurons,,,,,Control,normal,normal,,,,,,,,plated for 24hrs,,,,,,RNA,Human,SAMN03486585,SRX997107,2015-04-17,6235,2857,SRR1976089,SRS911351,200,PRJNA277541,UNIVERSITY OF ILLINOIS AT CHICAGO,public,0,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,ILLUMINA,2015-12-15,SRP056287,Cellular Dynamics
