Assay_Type_s,Organism_s,Brain Bank,Sex,Age,Age Units,Development,Race,Sample Origin,tissue_s,Cell Line,Tissue Site 1,tissue_compartment_s,Tissue Site 2,Tissue Site 3,Brodmann Area,Hemisphere,Disease Status,Disease,disease_status_s,Tumor Type,Clinical Stage 1,Clinical Stage 2,Pathology,Viability,Preparation,PMI,PMI Units,RIN,Sequencing Kit,,source_name_s,AvgSpotLen_l,BioSample_s,Experiment_s,LibrarySelection_s,MBases_l,MBytes_l,SRA_Sample_s,Run_s,Sample_Name_s,BioProject_s,Center_Name_s,Consent_s,InsertSize_l,Instrument_s,LibraryLayout_s,LibrarySource_s,LoadDate_s,Platform_s,ReleaseDate_s,SRA_Study_s
RNA-Seq,Homo sapiens,,,,,Adult,,,Brain,,Hippocampus,hippocampus,,,,,Control,,control,,,,,,,,,,,,PolyA-seq on brain tissue,40,SAMN03658252,SRX1028577,cDNA,1192,875,SRS937147,SRR2026309,GSM1685429,PRJNA283977,GEO,public,0,Illumina Genome Analyzer IIx,SINGLE,TRANSCRIPTOMIC,2015-05-14,ILLUMINA,2015-07-31,SRP058351
RNA-Seq,Homo sapiens,,,,,Adult,,,Brain,,Hippocampus,hippocampus,,,,,Control,,control,,,,,,,,,,,,PolyA-seq on brain tissue,40,SAMN03658253,SRX1028578,cDNA,951,702,SRS937146,SRR2026310,GSM1685430,PRJNA283977,GEO,public,0,Illumina Genome Analyzer IIx,SINGLE,TRANSCRIPTOMIC,2015-05-14,ILLUMINA,2015-07-31,SRP058351
RNA-Seq,Homo sapiens,,,,,Adult,,,Brain,,Hippocampus,hippocampus,,,,,Control,,control,,,,,,,,,,,,PolyA-seq on brain tissue,40,SAMN03658254,SRX1028579,cDNA,737,540,SRS937145,SRR2026311,GSM1685431,PRJNA283977,GEO,public,0,Illumina Genome Analyzer IIx,SINGLE,TRANSCRIPTOMIC,2015-05-14,ILLUMINA,2015-07-31,SRP058351
RNA-Seq,Homo sapiens,,,,,Adult,,,Brain,,Hippocampus,hippocampus,,,,,Control,,DM1,,,,,,,,,,,,PolyA-seq on brain tissue,40,SAMN03658255,SRX1028580,cDNA,1178,867,SRS937144,SRR2026312,GSM1685432,PRJNA283977,GEO,public,0,Illumina Genome Analyzer IIx,SINGLE,TRANSCRIPTOMIC,2015-05-14,ILLUMINA,2015-07-31,SRP058351
RNA-Seq,Homo sapiens,,,,,Adult,,,Brain,,Hippocampus,hippocampus,,,,,Control,,DM1,,,,,,,,,,,,PolyA-seq on brain tissue,40,SAMN03658256,SRX1028581,cDNA,1220,884,SRS937123,SRR2026313,GSM1685433,PRJNA283977,GEO,public,0,Illumina Genome Analyzer IIx,SINGLE,TRANSCRIPTOMIC,2015-05-14,ILLUMINA,2015-07-31,SRP058351
RNA-Seq,Homo sapiens,,,,,Adult,,,Brain,,Hippocampus,hippocampus,,,,,Control,,DM1,,,,,,,,,,,,PolyA-seq on brain tissue,40,SAMN03658257,SRX1028582,cDNA,841,620,SRS937124,SRR2026314,GSM1685434,PRJNA283977,GEO,public,0,Illumina Genome Analyzer IIx,SINGLE,TRANSCRIPTOMIC,2015-05-14,ILLUMINA,2015-07-31,SRP058351
RNA-Seq,Homo sapiens,,,,,Adult,,,Brain,,Hippocampus,hippocampus,,,,,Control,,DM2,,,,,,,,,,,,PolyA-seq on brain tissue,40,SAMN03658258,SRX1028583,cDNA,1200,858,SRS937122,SRR2026315,GSM1685435,PRJNA283977,GEO,public,0,Illumina Genome Analyzer IIx,SINGLE,TRANSCRIPTOMIC,2015-05-14,ILLUMINA,2015-07-31,SRP058351
RNA-Seq,Homo sapiens,,,,,Adult,,,Brain,,Hippocampus,hippocampus,,,,,Control,,DM2,,,,,,,,,,,,PolyA-seq on brain tissue,40,SAMN03658259,SRX1028584,cDNA,930,669,SRS937143,SRR2026316,GSM1685436,PRJNA283977,GEO,public,0,Illumina Genome Analyzer IIx,SINGLE,TRANSCRIPTOMIC,2015-05-14,ILLUMINA,2015-07-31,SRP058351
RNA-Seq,Homo sapiens,,,,,Adult,,,Brain,,Hippocampus,hippocampus,,,,,Control,,DM2,,,,,,,,,,,,PolyA-seq on brain tissue,40,SAMN03658260,SRX1028585,cDNA,1200,879,SRS937141,SRR2026317,GSM1685437,PRJNA283977,GEO,public,0,Illumina Genome Analyzer IIx,SINGLE,TRANSCRIPTOMIC,2015-05-14,ILLUMINA,2015-07-31,SRP058351
RNA-Seq,Homo sapiens,,,,,Adult,,,Brain,,Cerebral cortex,frontal cortex,Frontal lobe,,,,Control,,control,,,,,,,,,,,,PolyA-seq on brain tissue,40,SAMN03658261,SRX1028586,cDNA,2617,1777,SRS937142,SRR2026318,GSM1685438,PRJNA283977,GEO,public,0,Illumina Genome Analyzer IIx,SINGLE,TRANSCRIPTOMIC,2015-05-14,ILLUMINA,2015-07-31,SRP058351
RNA-Seq,Homo sapiens,,,,,Adult,,,Brain,,Cerebral cortex,frontal cortex,Frontal lobe,,,,Control,,control,,,,,,,,,,,,PolyA-seq on brain tissue,40,SAMN03658262,SRX1028587,cDNA,2550,1662,SRS937125,SRR2026319,GSM1685439,PRJNA283977,GEO,public,0,Illumina Genome Analyzer IIx,SINGLE,TRANSCRIPTOMIC,2015-05-14,ILLUMINA,2015-07-31,SRP058351
RNA-Seq,Homo sapiens,,,,,Adult,,,Brain,,Cerebral cortex,frontal cortex,Frontal lobe,,,,Control,,control,,,,,,,,,,,,PolyA-seq on brain tissue,40,SAMN03658263,SRX1028588,cDNA,2521,1655,SRS937140,SRR2026320,GSM1685440,PRJNA283977,GEO,public,0,Illumina Genome Analyzer IIx,SINGLE,TRANSCRIPTOMIC,2015-05-14,ILLUMINA,2015-07-31,SRP058351
RNA-Seq,Homo sapiens,,,,,Adult,,,Brain,,Cerebral cortex,frontal cortex,Frontal lobe,,,,Control,,DM1,,,,,,,,,,,,PolyA-seq on brain tissue,40,SAMN03658225,SRX1028589,cDNA,2596,1703,SRS937139,SRR2026321,GSM1685441,PRJNA283977,GEO,public,0,Illumina Genome Analyzer IIx,SINGLE,TRANSCRIPTOMIC,2015-05-14,ILLUMINA,2015-07-31,SRP058351
RNA-Seq,Homo sapiens,,,,,Adult,,,Brain,,Cerebral cortex,frontal cortex,Frontal lobe,,,,Control,,DM1,,,,,,,,,,,,PolyA-seq on brain tissue,40,SAMN03658226,SRX1028590,cDNA,2593,1759,SRS937138,SRR2026322,GSM1685442,PRJNA283977,GEO,public,0,Illumina Genome Analyzer IIx,SINGLE,TRANSCRIPTOMIC,2015-05-14,ILLUMINA,2015-07-31,SRP058351
RNA-Seq,Homo sapiens,,,,,Adult,,,Brain,,Cerebral cortex,frontal cortex,Frontal lobe,,,,Control,,DM1,,,,,,,,,,,,PolyA-seq on brain tissue,40,SAMN03658227,SRX1028591,cDNA,2619,1797,SRS937136,SRR2026323,GSM1685443,PRJNA283977,GEO,public,0,Illumina Genome Analyzer IIx,SINGLE,TRANSCRIPTOMIC,2015-05-14,ILLUMINA,2015-07-31,SRP058351
RNA-Seq,Homo sapiens,,,,,Adult,,,Brain,,Cerebral cortex,frontal cortex,Frontal lobe,,,,Control,,DM2,,,,,,,,,,,,PolyA-seq on brain tissue,40,SAMN03658228,SRX1028592,cDNA,2659,1827,SRS937137,SRR2026324,GSM1685444,PRJNA283977,GEO,public,0,Illumina Genome Analyzer IIx,SINGLE,TRANSCRIPTOMIC,2015-05-14,ILLUMINA,2015-07-31,SRP058351
