Assay_Type_s,Organism_s,Brain Bank,Sex,,Age,Age Units,,Development,Race,Sample Origin,Tissue Site 1,Cell Line,,Tissue Site 2,Tissue Site 3,,Brodmann Area,Hemisphere,Disease Status,isolate_s,Disease,Tumor Type,Clinical Stage 1,Clinical Stage 2,Pathology,Viability,Preparation,PMI,PMI Units,RIN,Sequencing Kit,,BioSampleModel_s,AvgSpotLen_l,BioSample_s,Experiment_s,LoadDate_s,MBases_l,MBytes_l,Run_s,SRA_Sample_s,BioProject_s,Center_Name_s,Consent_s,InsertSize_l,Instrument_s,LibraryLayout_s,LibrarySelection_s,LibrarySource_s,Platform_s,ReleaseDate_s,SRA_Study_s,biomaterial_provider_s
RNA-Seq,Homo sapiens,,,,,,,Adult,,Brain,Whole brain,,,,,,,,Control,unknow,,,,,,,,,,,,,Human,206,SAMN02721527,SRX512961,2014-04-15,34840,23205,SRR1222585,SRS590123,PRJNA244070,KUNMING INSTITUTE OF ZOOLOGY CHINESE ACADEMY OF SC,public,0,Illumina HiSeq 2000,PAIRED,PolyA,TRANSCRIPTOMIC,ILLUMINA,2015-04-08,SRP041044,colotech
RNA-Seq,Homo sapiens,,,,,,,Adult,,Brain,Cerebellum,,,,,,,,23,unknow,,,,,,,,,,,,,Human,206,SAMN02721528,SRX512962,2014-04-15,26489,16552,SRR1222586,SRS590124,PRJNA244070,KUNMING INSTITUTE OF ZOOLOGY CHINESE ACADEMY OF SC,public,0,Illumina HiSeq 2000,PAIRED,PolyA,TRANSCRIPTOMIC,ILLUMINA,2015-04-08,SRP041044,colotech
RNA-Seq,Homo sapiens,,,,,,,Adult,,Brain,Cerebral cortex,,,,,,,,Control,unknow,,,,,,,,,,,,,Human,206,SAMN02721529,SRX512963,2014-04-16,25997,16205,SRR1222587,SRS590136,PRJNA244070,KUNMING INSTITUTE OF ZOOLOGY CHINESE ACADEMY OF SC,public,0,Illumina HiSeq 2000,PAIRED,PolyA,TRANSCRIPTOMIC,ILLUMINA,2015-04-08,SRP041044,colotech
RNA-Seq,Homo sapiens,,,,,,,Adult,,Brain,Brainstem,,,Medulla,,,,,Control,unknow,,,,,,,,,,,,,Human,193,SAMN02721537,SRX512964,2014-04-28,38625,27135,SRR1222588,SRS590137,PRJNA244070,KUNMING INSTITUTE OF ZOOLOGY CHINESE ACADEMY OF SC,public,0,Illumina HiSeq 2000,PAIRED,PolyA,TRANSCRIPTOMIC,ILLUMINA,2015-04-08,SRP041044,colotech
RNA-Seq,Homo sapiens,,,,,,,Adult,,Brain,Cerebral cortex,,,Frontal lobe,,,,,Control,unknow,,,,,,,,,,,,,Human,193,SAMN02721533,SRX512965,2014-04-29,44813,32497,SRR1222589,SRS590138,PRJNA244070,KUNMING INSTITUTE OF ZOOLOGY CHINESE ACADEMY OF SC,public,0,Illumina HiSeq 2000,PAIRED,PolyA,TRANSCRIPTOMIC,ILLUMINA,2015-04-08,SRP041044,colotech
RNA-Seq,Homo sapiens,,,,,,,Adult,,Brain,Corpus callosum,,,,,,,,Control,unknow,,,,,,,,,,,,,Human,193,SAMN02721530,SRX512966,2014-05-01,44277,31344,SRR1222590,SRS590139,PRJNA244070,KUNMING INSTITUTE OF ZOOLOGY CHINESE ACADEMY OF SC,public,0,Illumina HiSeq 2000,PAIRED,PolyA,TRANSCRIPTOMIC,ILLUMINA,2015-04-08,SRP041044,colotech
RNA-Seq,Homo sapiens,,,,,,,Adult,,Brain,Cerebral cortex,,,Insular cortex,,,,,Control,unknow,,,,,,,,,,,,,Human,193,SAMN02721535,SRX512967,2014-04-14,43546,31497,SRR1222592,SRS590140,PRJNA244070,KUNMING INSTITUTE OF ZOOLOGY CHINESE ACADEMY OF SC,public,0,Illumina HiSeq 2000,PAIRED,PolyA,TRANSCRIPTOMIC,ILLUMINA,2015-04-08,SRP041044,colotech
RNA-Seq,Homo sapiens,,,,,,,Adult,,Brain,Nucleus accumbens,,,,,,,,Control,unknow,,,,,,,,,,,,,Human,193,SAMN02721536,SRX512969,2014-04-15,36750,26943,SRR1222594,SRS590141,PRJNA244070,KUNMING INSTITUTE OF ZOOLOGY CHINESE ACADEMY OF SC,public,0,Illumina HiSeq 2000,PAIRED,PolyA,TRANSCRIPTOMIC,ILLUMINA,2015-04-08,SRP041044,colotech
RNA-Seq,Homo sapiens,,,,,,,Adult,,Brain,Cerebral cortex,,,Parietal lobe,,,,,Control,unknow,,,,,,,,,,,,,Human,193,SAMN02721538,SRX512970,2014-04-16,42604,30117,SRR1222599,SRS590142,PRJNA244070,KUNMING INSTITUTE OF ZOOLOGY CHINESE ACADEMY OF SC,public,0,Illumina HiSeq 2000,PAIRED,PolyA,TRANSCRIPTOMIC,ILLUMINA,2015-04-08,SRP041044,colotech
RNA-Seq,Homo sapiens,,,,,,,Adult,,Brain,Dura mater,,,,,,,,Control,unknow,,,,,,,,,,,,,Human,184,SAMN02721531,SRX512971,2014-04-24,29229,21819,SRR1222601,SRS590143,PRJNA244070,KUNMING INSTITUTE OF ZOOLOGY CHINESE ACADEMY OF SC,public,0,Illumina HiSeq 2000,PAIRED,PolyA,TRANSCRIPTOMIC,ILLUMINA,2015-04-08,SRP041044,colotech
RNA-Seq,Homo sapiens,,,,,,,Adult,,Brain,Brainstem,,,Pons,,,,,Control,unknow,,,,,,,,,,,,,Human,184,SAMN02721539,SRX513007,2014-04-18,44709,32271,SRR1222677,SRS590157,PRJNA244070,KUNMING INSTITUTE OF ZOOLOGY CHINESE ACADEMY OF SC,public,0,Illumina HiSeq 2000,PAIRED,PolyA,TRANSCRIPTOMIC,ILLUMINA,2015-04-08,SRP041044,colotech
RNA-Seq,Homo sapiens,,,,,,,Adult,,Brain,Cerebral cortex,,,Parietal lobe,Somatosensory cortex,,,,Control,unknow,,,,,,,,,,,,,Human,184,SAMN02721540,SRX513008,2014-04-18,41486,28821,SRR1222678,SRS590158,PRJNA244070,KUNMING INSTITUTE OF ZOOLOGY CHINESE ACADEMY OF SC,public,0,Illumina HiSeq 2000,PAIRED,PolyA,TRANSCRIPTOMIC,ILLUMINA,2015-04-08,SRP041044,colotech
RNA-Seq,Homo sapiens,,,,,,,Adult,,Brain,Cerebral cortex,,,Frontal lobe,Motor cortex,,,,Control,unknow,,,,,,,,,,,,,Human,184,SAMN02721541,SRX513009,2014-04-19,38791,28560,SRR1222680,SRS590159,PRJNA244070,KUNMING INSTITUTE OF ZOOLOGY CHINESE ACADEMY OF SC,public,0,Illumina HiSeq 2000,PAIRED,PolyA,TRANSCRIPTOMIC,ILLUMINA,2015-04-08,SRP041044,colotech
RNA-Seq,Homo sapiens,,,,,,,Adult,,Brain,Putamen,,,,,,,,Control,unknow,,,,,,,,,,,,,Human,184,SAMN02721542,SRX513010,2014-04-22,37815,28059,SRR1222682,SRS590160,PRJNA244070,KUNMING INSTITUTE OF ZOOLOGY CHINESE ACADEMY OF SC,public,0,Illumina HiSeq 2000,PAIRED,PolyA,TRANSCRIPTOMIC,ILLUMINA,2015-04-08,SRP041044,colotech
RNA-Seq,Homo sapiens,,,,,,,Adult,,Brain,Substantia nigra,,,,,,,,Control,unknow,,,,,,,,,,,,,Human,200,SAMN02721543,SRX513011,2014-04-14,25402,17619,SRR1222684,SRS590161,PRJNA244070,KUNMING INSTITUTE OF ZOOLOGY CHINESE ACADEMY OF SC,public,0,Illumina HiSeq 2000,PAIRED,PolyA,TRANSCRIPTOMIC,ILLUMINA,2015-04-08,SRP041044,colotech
RNA-Seq,Homo sapiens,,,,,,,Fetus,,Brain,Whole brain,,,,,,,,Control,unknow,,,,,,,,,,,,,Human,200,SAMN02721532,SRX513012,2014-04-15,24077,16510,SRR1222685,SRS590162,PRJNA244070,KUNMING INSTITUTE OF ZOOLOGY CHINESE ACADEMY OF SC,public,0,Illumina HiSeq 2000,PAIRED,PolyA,TRANSCRIPTOMIC,ILLUMINA,2015-04-08,SRP041044,colotech
RNA-Seq,Homo sapiens,,,,,,,Adult,,Brain,Hippocampus,,,,,,,,Control,unknow,,,,,,,,,,,,,Human,200,SAMN02721534,SRX513013,2014-04-11,21518,14741,SRR1222686,SRS590163,PRJNA244070,KUNMING INSTITUTE OF ZOOLOGY CHINESE ACADEMY OF SC,public,0,Illumina HiSeq 2000,PAIRED,PolyA,TRANSCRIPTOMIC,ILLUMINA,2015-04-08,SRP041044,colotech
